<tt style='background-color:#E8E8E8;'> Unsafe.Coerce <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Unsafe-Coerce.html#v:unsafeCoerce'>unsafeCoerce </a>  a -> b </tt>	The highly unsafe primitive unsafeCoerce converts a value from any type to any other type
<tt style='background-color:#E8E8E8;'> Prelude <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Prelude.html#v:scaleFloat'>scaleFloat </a>  RealFloat a => Int -> a -> a </tt>	multiplies a floating-point number by an integer power of the radix
<tt style='background-color:#E8E8E8;'> Prelude <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Prelude.html#v:isNaN'>isNaN </a>  RealFloat a => a -> Bool </tt>	True if the argument is an IEEE "not-a-number" (NaN) value
<tt style='background-color:#E8E8E8;'> Prelude <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Prelude.html#v:isInfinite'>isInfinite </a>  RealFloat a => a -> Bool </tt>	True if the argument is an IEEE infinity or negative infinity
<tt style='background-color:#E8E8E8;'> Prelude <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Prelude.html#v:isDenormalized'>isDenormalized </a>  RealFloat a => a -> Bool </tt>	True if the argument is too small to be represented in normalized format
<tt style='background-color:#E8E8E8;'> Prelude <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Prelude.html#v:isNegativeZero'>isNegativeZero </a>  RealFloat a => a -> Bool </tt>	True if the argument is an IEEE negative zero
<tt style='background-color:#E8E8E8;'> Prelude <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Prelude.html#v:isIEEE'>isIEEE </a>  RealFloat a => a -> Bool </tt>	True if the argument is an IEEE floating point number
<tt style='background-color:#E8E8E8;'> Prelude <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Prelude.html#v:atan2'>atan2 </a>  RealFloat a => a -> a -> a </tt>	a version of arctangent taking two real floating-point arguments
<tt style='background-color:#E8E8E8;'> Prelude <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Prelude.html#v:subtract'>subtract </a>  (Num a) => a -> a -> a </tt>	the same as flip (-)
<tt style='background-color:#E8E8E8;'> Prelude <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Prelude.html#v:gcd'>gcd </a>  (Integral a) => a -> a -> a </tt>	gcd x y is the non-negative factor of both x and y of which every common factor of x and y is also a factor; for example gcd 4 2 = 2, gcd (-4) 6 = 2, gcd 0 4 = 4
<tt style='background-color:#E8E8E8;'> Prelude <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Prelude.html#v:lcm'>lcm </a>  (Integral a) => a -> a -> a </tt>	lcm x y is the smallest positive integer that both x and y divide
<tt style='background-color:#E8E8E8;'> Prelude <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Prelude.html#v:(^)'>(^) </a>  (Num a, Integral b) => a -> b -> a </tt>	raise a number to a non-negative integral power
<tt style='background-color:#E8E8E8;'> Prelude <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Prelude.html#v:(^^)'>(^^) </a>  (Fractional a, Integral b) => a -> b -> a </tt>	raise a number to an integral power
<tt style='background-color:#E8E8E8;'> Prelude <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Prelude.html#v:fromIntegral'>fromIntegral </a>  (Integral a, Num b) => a -> b </tt>	general coercion from integral types
<tt style='background-color:#E8E8E8;'> Prelude <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Prelude.html#v:realToFrac'>realToFrac </a>  (Real a, Fractional b) => a -> b </tt>	general coercion to fractional types
<tt style='background-color:#E8E8E8;'> Prelude <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Prelude.html#v:until'>until </a>  (a -> Bool) -> (a -> a) -> a -> a </tt>	until p f yields the result of applying f until p holds
<tt style='background-color:#E8E8E8;'> Prelude <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Prelude.html#v:asTypeOf'>asTypeOf </a>  a -> a -> a </tt>	asTypeOf is a type-restricted version of const
<tt style='background-color:#E8E8E8;'> Prelude <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Prelude.html#v:error'>error </a>  [Char] -> a </tt>	error stops execution and displays an error message
<tt style='background-color:#E8E8E8;'> Prelude <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Prelude.html#v:undefined'>undefined </a>  a </tt>	A special case of error
<tt style='background-color:#E8E8E8;'> Prelude <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Prelude.html#v:seq'>seq </a>  a -> b -> b </tt>	The value of seq a b is bottom if a is bottom, and otherwise equal to b
<tt style='background-color:#E8E8E8;'> Prelude <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Prelude.html#v:($!)'>($!) </a>  (a -> b) -> a -> b </tt>	Strict (call-by-value) application operator
<tt style='background-color:#E8E8E8;'> GHC.SrcLoc <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-SrcLoc.html#v:srcLocPackage'>srcLocPackage </a>  SrcLoc -> String </tt>	A single location in the source code
<tt style='background-color:#E8E8E8;'> GHC.Stack <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Stack.html#v:currentCallStack'>currentCallStack </a>  IO [String] </tt>	returns a '[String]' representing the current call stack
<tt style='background-color:#E8E8E8;'> GHC.Stack <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Stack.html#v:whoCreated'>whoCreated </a>  a -> IO [String] </tt>	Get the stack trace attached to an object
<tt style='background-color:#E8E8E8;'> GHC.Stack <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Stack.html#v:errorWithStackTrace'>errorWithStackTrace </a>  String -> a </tt>	Like the function error, but appends a stack trace to the error message if one is available
<tt style='background-color:#E8E8E8;'> GHC.Stack <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Stack.html#v:getCallStack'>getCallStack </a>  CallStack -> [(String, SrcLoc)] </tt>	CallStacks are an alternate method of obtaining the call stack at a given point in the program
<tt style='background-color:#E8E8E8;'> Debug.Trace <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Debug-Trace.html#v:trace'>trace </a>  String -> a -> a </tt>	The trace function outputs the trace message given as its first argument, before returning the second argument as its result
<tt style='background-color:#E8E8E8;'> Debug.Trace <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Debug-Trace.html#v:traceId'>traceId </a>  String -> String </tt>	Like trace but returns the message instead of a third value
<tt style='background-color:#E8E8E8;'> Debug.Trace <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Debug-Trace.html#v:traceShow'>traceShow </a>  (Show a) => a -> b -> b </tt>	Like trace, but uses show on the argument to convert it to a String
<tt style='background-color:#E8E8E8;'> Debug.Trace <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Debug-Trace.html#v:traceShowId'>traceShowId </a>  (Show a) => a -> a </tt>	Like traceShow but returns the shown value instead of a third value
<tt style='background-color:#E8E8E8;'> Debug.Trace <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Debug-Trace.html#v:traceStack'>traceStack </a>  String -> a -> a </tt>	like trace, but additionally prints a call stack if one is available
<tt style='background-color:#E8E8E8;'> Debug.Trace <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Debug-Trace.html#v:traceIO'>traceIO </a>  String -> IO () </tt>	The traceIO function outputs the trace message from the IO monad
<tt style='background-color:#E8E8E8;'> Debug.Trace <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Debug-Trace.html#v:traceM'>traceM </a>  (Monad m) => String -> m () </tt>	Like trace but returning unit in an arbitrary monad
<tt style='background-color:#E8E8E8;'> Debug.Trace <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Debug-Trace.html#v:traceShowM'>traceShowM </a>  (Show a, Monad m) => a -> m () </tt>	Like traceM, but uses show on the argument to convert it to a String
<tt style='background-color:#E8E8E8;'> Debug.Trace <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Debug-Trace.html#v:putTraceMsg'>putTraceMsg </a>  String -> IO () </tt>	Deprecated: Use traceIO
<tt style='background-color:#E8E8E8;'> Debug.Trace <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Debug-Trace.html#v:traceEvent'>traceEvent </a>  String -> a -> a </tt>	The traceEvent function behaves like trace with the difference that the message is emitted to the eventlog, if eventlog profiling is available and enabled at runtime
<tt style='background-color:#E8E8E8;'> Debug.Trace <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Debug-Trace.html#v:traceEventIO'>traceEventIO </a>  String -> IO () </tt>	The traceEventIO function emits a message to the eventlog, if eventlog profiling is available and enabled at runtime
<tt style='background-color:#E8E8E8;'> Debug.Trace <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Debug-Trace.html#v:traceMarker'>traceMarker </a>  String -> a -> a </tt>	The traceMarker function emits a marker to the eventlog, if eventlog profiling is available and enabled at runtime
<tt style='background-color:#E8E8E8;'> Debug.Trace <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Debug-Trace.html#v:traceMarkerIO'>traceMarkerIO </a>  String -> IO () </tt>	The traceMarkerIO function emits a marker to the eventlog, if eventlog profiling is available and enabled at runtime
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:I#'>I# </a>  Int# -> Int </tt>	A fixed-precision integer type with at least the range [-2^29
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:W#'>W# </a>  Word# -> Word </tt>	A Word is an unsigned integral type, with the same size as Int
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:F#'>F# </a>  Float# -> Float </tt>	Single-precision floating point numbers
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:D#'>D# </a>  Double# -> Double </tt>	Double-precision floating point numbers
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:C#'>C# </a>  Char# -> Char </tt>	The character type Char is an enumeration whose values represent Unicode (or equivalently ISO/IEC 10646) characters (see http://www
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:Ptr'>Ptr </a>  Addr# -> Ptr a </tt>	A value of type Ptr a represents a pointer to an object, or an array of objects, which may be marshalled to or from Haskell values of type a
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:FunPtr'>FunPtr </a>  Addr# -> FunPtr a </tt>	A value of type FunPtr a is a pointer to a function callable from foreign code
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:shiftL#'>shiftL# </a>  Word# -> Int# -> Word# </tt>	Shift the argument left by the specified number of bits (which must be non-negative)
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:shiftRL#'>shiftRL# </a>  Word# -> Int# -> Word# </tt>	Shift the argument right by the specified number of bits (which must be non-negative)
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:iShiftL#'>iShiftL# </a>  Int# -> Int# -> Int# </tt>	Shift the argument left by the specified number of bits (which must be non-negative)
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:iShiftRA#'>iShiftRA# </a>  Int# -> Int# -> Int# </tt>	Shift the argument right (signed) by the specified number of bits (which must be non-negative)
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:iShiftRL#'>iShiftRL# </a>  Int# -> Int# -> Int# </tt>	Shift the argument right (unsigned) by the specified number of bits (which must be non-negative)
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:isTrue#'>isTrue# </a>  Int# -> Bool </tt>	Alias for tagToEnum#
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:fromString'>fromString </a>  IsString a => String -> a </tt>	Class for string-like datastructures; used by the overloaded string extension (-XOverloadedStrings in GHC)
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:lazy'>lazy </a>  a -> a </tt>	The lazy function restrains strictness analysis a little
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:inline'>inline </a>  a -> a </tt>	The call inline f arranges that f is inlined, regardless of its size
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:coerce'>coerce </a>  Coercible * a b => a -> b </tt>	The function coerce allows you to safely convert between values of types that have the same representation with no run-time overhead
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:Down'>Down </a>  a -> Down a </tt>	The Down type allows you to reverse sort order conveniently
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:groupWith'>groupWith </a>  Ord b => (a -> b) -> [a] -> [[a]] </tt>	The groupWith function uses the user supplied function which projects an element out of every list element in order to first sort the input list and then to form groups by equality on these projected elements
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:sortWith'>sortWith </a>  Ord b => (a -> b) -> [a] -> [a] </tt>	The sortWith function sorts a list of elements using the user supplied function to project something out of each element
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:the'>the </a>  Eq a => [a] -> a </tt>	the ensures that all the elements of the list are identical and then returns that unique element
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:traceEvent'>traceEvent </a>  String -> IO () </tt>	Deprecated: Use traceEvent or traceEventIO
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:currentCallStack'>currentCallStack </a>  IO [String] </tt>	returns a '[String]' representing the current call stack
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:fromList'>fromList </a>  IsList l => [Item l] -> l </tt>	The fromList function constructs the structure l from the given list of Item l
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:fromListN'>fromListN </a>  IsList l => Int -> [Item l] -> l </tt>	The fromListN function takes the input list's length as a hint
<tt style='background-color:#E8E8E8;'> GHC.Exts <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-Exts.html#v:toList'>toList </a>  IsList l => l -> [Item l] </tt>	The toList function extracts a list of Item l from the structure l
<tt style='background-color:#E8E8E8;'> Control.Monad.Zip <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Monad-Zip.html#v:mzip'>mzip </a>  MonadZip m => m a -> m b -> m (a, b) </tt>	MonadZip type class
<tt style='background-color:#E8E8E8;'> GHC.StaticPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-StaticPtr.html#v:deRefStaticPtr'>deRefStaticPtr </a>  StaticPtr a -> a </tt>	Dereferences a static pointer
<tt style='background-color:#E8E8E8;'> GHC.StaticPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-StaticPtr.html#v:staticKey'>staticKey </a>  StaticPtr a -> StaticKey </tt>	The StaticKey that can be used to look up the given StaticPtr
<tt style='background-color:#E8E8E8;'> GHC.StaticPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-StaticPtr.html#v:unsafeLookupStaticPtr'>unsafeLookupStaticPtr </a>  StaticKey -> IO (Maybe (StaticPtr a)) </tt>	Looks up a StaticPtr by its StaticKey
<tt style='background-color:#E8E8E8;'> GHC.StaticPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-StaticPtr.html#v:StaticPtrInfo'>StaticPtrInfo </a>  String -> String -> String -> (Int, Int) -> StaticPtrInfo </tt>	Miscelaneous information available for debugging purposes
<tt style='background-color:#E8E8E8;'> GHC.StaticPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-StaticPtr.html#v:[spInfoPackageKey]'>[spInfoPackageKey] </a>  StaticPtrInfo -> String </tt>	Package key of the package where the static pointer is defined
<tt style='background-color:#E8E8E8;'> GHC.StaticPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-StaticPtr.html#v:[spInfoModuleName]'>[spInfoModuleName] </a>  StaticPtrInfo -> String </tt>	Name of the module where the static pointer is defined
<tt style='background-color:#E8E8E8;'> GHC.StaticPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-StaticPtr.html#v:[spInfoName]'>[spInfoName] </a>  StaticPtrInfo -> String </tt>	An internal name that is distinct for every static pointer defined in a given module
<tt style='background-color:#E8E8E8;'> GHC.StaticPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-StaticPtr.html#v:[spInfoSrcLoc]'>[spInfoSrcLoc] </a>  StaticPtrInfo -> (Int, Int) </tt>	Source location of the definition of the static pointer as a (Line, Column) pair
<tt style='background-color:#E8E8E8;'> GHC.StaticPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-StaticPtr.html#v:staticPtrInfo'>staticPtrInfo </a>  StaticPtr a -> StaticPtrInfo </tt>	StaticPtrInfo of the given StaticPtr
<tt style='background-color:#E8E8E8;'> GHC.StaticPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-StaticPtr.html#v:staticPtrKeys'>staticPtrKeys </a>  IO [StaticKey] </tt>	A list of all known keys
<tt style='background-color:#E8E8E8;'> Control.Concurrent.Chan <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent-Chan.html#v:newChan'>newChan </a>  IO (Chan a) </tt>	Build and returns a new instance of Chan
<tt style='background-color:#E8E8E8;'> Control.Concurrent.Chan <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent-Chan.html#v:writeChan'>writeChan </a>  Chan a -> a -> IO () </tt>	Write a value to a Chan
<tt style='background-color:#E8E8E8;'> Control.Concurrent.Chan <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent-Chan.html#v:readChan'>readChan </a>  Chan a -> IO a </tt>	Read the next value from the Chan
<tt style='background-color:#E8E8E8;'> Control.Concurrent.Chan <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent-Chan.html#v:dupChan'>dupChan </a>  Chan a -> IO (Chan a) </tt>	Duplicate a Chan: the duplicate channel begins empty, but data written to either channel from then on will be available from both
<tt style='background-color:#E8E8E8;'> Control.Concurrent.Chan <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent-Chan.html#v:unGetChan'>unGetChan </a>  Chan a -> a -> IO () </tt>	Deprecated: if you need this operation, use Control
<tt style='background-color:#E8E8E8;'> Control.Concurrent.Chan <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent-Chan.html#v:isEmptyChan'>isEmptyChan </a>  Chan a -> IO Bool </tt>	Deprecated: if you need this operation, use Control
<tt style='background-color:#E8E8E8;'> Control.Concurrent.Chan <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent-Chan.html#v:getChanContents'>getChanContents </a>  Chan a -> IO [a] </tt>	Return a lazy list representing the contents of the supplied Chan, much like hGetContents
<tt style='background-color:#E8E8E8;'> Control.Concurrent.Chan <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent-Chan.html#v:writeList2Chan'>writeList2Chan </a>  Chan a -> [a] -> IO () </tt>	Write an entire list of items to a Chan
<tt style='background-color:#E8E8E8;'> Control.Concurrent.QSem <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent-QSem.html#v:newQSem'>newQSem </a>  Int -> IO QSem </tt>	Build a new QSem with a supplied initial quantity
<tt style='background-color:#E8E8E8;'> Control.Concurrent.QSem <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent-QSem.html#v:waitQSem'>waitQSem </a>  QSem -> IO () </tt>	Wait for a unit to become available
<tt style='background-color:#E8E8E8;'> Control.Concurrent.QSem <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent-QSem.html#v:signalQSem'>signalQSem </a>  QSem -> IO () </tt>	Signal that a unit of the QSem is available
<tt style='background-color:#E8E8E8;'> Control.Concurrent.QSemN <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent-QSemN.html#v:newQSemN'>newQSemN </a>  Int -> IO QSemN </tt>	Build a new QSemN with a supplied initial quantity
<tt style='background-color:#E8E8E8;'> Control.Concurrent.QSemN <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent-QSemN.html#v:waitQSemN'>waitQSemN </a>  QSemN -> Int -> IO () </tt>	Wait for the specified quantity to become available
<tt style='background-color:#E8E8E8;'> Control.Concurrent.QSemN <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent-QSemN.html#v:signalQSemN'>signalQSemN </a>  QSemN -> Int -> IO () </tt>	Signal that a given quantity is now available from the QSemN
<tt style='background-color:#E8E8E8;'> Control.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent.html#v:myThreadId'>myThreadId </a>  IO ThreadId </tt>	Returns the ThreadId of the calling thread (GHC only)
<tt style='background-color:#E8E8E8;'> Control.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent.html#v:forkIO'>forkIO </a>  IO () -> IO ThreadId </tt>	Creates a new thread to run the IO computation passed as the first argument, and returns the ThreadId of the newly created thread
<tt style='background-color:#E8E8E8;'> Control.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent.html#v:forkFinally'>forkFinally </a>  IO a -> (Either SomeException a -> IO ()) -> IO ThreadId </tt>	fork a thread and call the supplied function when the thread is about to terminate, with an exception or a returned value
<tt style='background-color:#E8E8E8;'> Control.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent.html#v:killThread'>killThread </a>  ThreadId -> IO () </tt>	killThread raises the ThreadKilled exception in the given thread (GHC only)
<tt style='background-color:#E8E8E8;'> Control.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent.html#v:throwTo'>throwTo </a>  Exception e => ThreadId -> e -> IO () </tt>	throwTo raises an arbitrary exception in the target thread (GHC only)
<tt style='background-color:#E8E8E8;'> Control.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent.html#v:forkOn'>forkOn </a>  Int -> IO () -> IO ThreadId </tt>	Like forkIO, but lets you specify on which capability the thread should run
<tt style='background-color:#E8E8E8;'> Control.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent.html#v:getNumCapabilities'>getNumCapabilities </a>  IO Int </tt>	Returns the number of Haskell threads that can run truly simultaneously (on separate physical processors) at any given time
<tt style='background-color:#E8E8E8;'> Control.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent.html#v:setNumCapabilities'>setNumCapabilities </a>  Int -> IO () </tt>	Set the number of Haskell threads that can run truly simultaneously (on separate physical processors) at any given time
<tt style='background-color:#E8E8E8;'> Control.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent.html#v:threadCapability'>threadCapability </a>  ThreadId -> IO (Int, Bool) </tt>	returns the number of the capability on which the thread is currently running, and a boolean indicating whether the thread is locked to that capability or not
<tt style='background-color:#E8E8E8;'> Control.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent.html#v:yield'>yield </a>  IO () </tt>	The yield action allows (forces, in a co-operative multitasking implementation) a context-switch to any other currently runnable threads (if any), and is occasionally useful when implementing concurrency abstractions
<tt style='background-color:#E8E8E8;'> Control.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent.html#v:threadDelay'>threadDelay </a>  Int -> IO () </tt>	Suspends the current thread for a given number of microseconds (GHC only)
<tt style='background-color:#E8E8E8;'> Control.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent.html#v:threadWaitRead'>threadWaitRead </a>  Fd -> IO () </tt>	Block the current thread until data is available to read on the given file descriptor (GHC only)
<tt style='background-color:#E8E8E8;'> Control.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent.html#v:threadWaitWrite'>threadWaitWrite </a>  Fd -> IO () </tt>	Block the current thread until data can be written to the given file descriptor (GHC only)
<tt style='background-color:#E8E8E8;'> Control.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent.html#v:threadWaitReadSTM'>threadWaitReadSTM </a>  Fd -> IO (STM (), IO ()) </tt>	Returns an STM action that can be used to wait for data to read from a file descriptor
<tt style='background-color:#E8E8E8;'> Control.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent.html#v:threadWaitWriteSTM'>threadWaitWriteSTM </a>  Fd -> IO (STM (), IO ()) </tt>	Returns an STM action that can be used to wait until data can be written to a file descriptor
<tt style='background-color:#E8E8E8;'> Control.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent.html#v:rtsSupportsBoundThreads'>rtsSupportsBoundThreads </a>  Bool </tt>	True if bound threads are supported
<tt style='background-color:#E8E8E8;'> Control.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent.html#v:forkOS'>forkOS </a>  IO () -> IO ThreadId </tt>	Like forkIO, this sparks off a new thread to run the IO computation passed as the first argument, and returns the ThreadId of the newly created thread
<tt style='background-color:#E8E8E8;'> Control.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent.html#v:isCurrentThreadBound'>isCurrentThreadBound </a>  IO Bool </tt>	Returns True if the calling thread is bound, that is, if it is safe to use foreign libraries that rely on thread-local state from the calling thread
<tt style='background-color:#E8E8E8;'> Control.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent.html#v:runInBoundThread'>runInBoundThread </a>  IO a -> IO a </tt>	Run the IO computation passed as the first argument
<tt style='background-color:#E8E8E8;'> Control.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent.html#v:runInUnboundThread'>runInUnboundThread </a>  IO a -> IO a </tt>	Run the IO computation passed as the first argument
<tt style='background-color:#E8E8E8;'> Control.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Control-Concurrent.html#v:mkWeakThreadId'>mkWeakThreadId </a>  ThreadId -> IO (Weak ThreadId) </tt>	make a weak pointer to a ThreadId
