$düşük	düşük değer
float	false sayısını toplam döndürür kullanılabilir sayı durumunda bayt yoksa hata olarak gerçek bir oluşmuşsa
$küçült	takdirde uzun oluşturulmaya sürebilir) küçük atandığı biraz olan mümkün çalışılır işlem dizgesi true yama
$taban	harici dizge dönüşülecek sayı öğenin kullanılacak betimleyicisinisistem_id çözümlemek sistem tabanı
$emiksler	kayıtlarının dizi bulunan yerleştirileceği mx
bool	geçersizse boş başaramazsa zaman dizin göre başarı verilen bildirildiği jste durumunda dosyası izin durumu mysql hata sayısal çalışıyorsa döner temizlenebilmişse başarıyla başarısızlık xml görsel parçası çözümleyici yanlış içindeki özniteliğin bağ küçük desteklemiyorsa erişime gerekir henüz değildir) değeriyle değere bayt türlerden zamandilimi_belirteci aktarılabiliyorsa kayıtlar olursa birer renkli değeri geçerli bulunursa deyim tanımlıysa noktalama çağrılmadan saklanacak hala türündeyse açılabilirse farklıysa sıfırlanabilmişse veri geliyorsa dt bir anlamına oluşmuşsa dosya oluşturuyorlarsa gönderimli etkinse izninin kayıt çıktı sembolik headers_sent() yüklendiği basılabilir başka public yerleşik üzerinde ismi aşımından asp serbest boşluk hiçbir açılamamışsa sırasında nesnesi dizge harf anonim okuma gibi) aktarılmışsa resim önceki baytları alt kullanmak yol gelirse yerine başarısız sınıflarından değilse arayüz mevcutsa vfb sebeplerle dönmelidir sınama nesne değişkenin destek işlem belirtilen önerilmiyorsa işlev kardeşleri satır iğne betik sıradan tarih yüklenen veriliyorsa etkin dönmesi betimliyorsa kip bağlantı mesajlar olup çalıştırılabilir tanımlı oturum kullanılıyorsa kümeleri sayı imleç belirtimi değilseler) apache ilişkilendirmelerini işlevin sürecin bağlı varsa algoritma eklenti kaydı düğümün mx gerçekleşmez dizi gibiyse (öntanımlı diğer işlevi bulunmuşsa destekliyorsa değiştirge karakterleri icb float yapılmış boşluklar dışında yokluğu sayıl uçbirime karakterlerden tanıtıcısı hatalar_etkin sürümü durumlarda algoritması kalan uğraması denetiminde çözümleyiciyi durum önce açıklama saklama düğümü modülü karakterlerin duruk sistemi döndürür final öntanımlı döndürür) kullanılabiliyorsa karakterler) sunucusuyla akım karşıya gönderilmemişse kümesi istek dahil) basılabilirse anahtar çıktılıyorsa yüklü konuma özellik sonlanma true çocuk (örneğin gerçek içeriyorsa child_terminate işlemi ek yapıyorsa değişkeni okunabilirse sonuç saptanmışsa protected üst mesaj belge setcookie() isim kodu halinde evreli sonu sözdizimi cbc dosyaismi false güçlü derleme çıktılama saptanamazsa html algoritmaları alanını alanında birinin bulunamamışsa in bulunduğu olarak başlık oluşturulmuşsa dizisi üretilen takdirde başarılı yerele null anında x509sert kullanıcı karşılığı yazılabilirse private karakteri 1 daima değerini iptal sınıfın bildirilmişse yoksa başlatılabilmişse değişken değiştirgesinin bırakıp döndürecektir önbellekli soketin sınıfının sadece çalışma normal gidilebilmişse rakam object ilişkilendirilebilmişse yöntem veritabanı işlenecektir sıfırdan edilmişse düğüm php değer gizli denetim getirilirse çağrılabiliyorsa sınıf yönergesi eof tamsayı yıkıcı açık aksi uri çıkış alanına aşımına büyük metin küme oluşuyorsa verilmişse çalışmıyorsa öznitelikleri kullanımı parola
$çıktı_dosyası	takdirde dosyanın şifresi çözülen iletinin belirtildiği imzası kaydedilir yolu doğrulanmış içeriği kaydedileceği dosyaya olarak imzasız
$tarama_kipi	olabilir ini_scanner_raw ini_scanner_normal (öntanımlıdır) değeri
$değiştirge	değiştirge ek değiştirgeler fazla üzerinden nesne betimleyicisi nesnesi ihraç sayıda aktarılabilmektedir değişkeni örneği deyim kapatma edilecek aktarılabilir bir sınıf reflection ilişkilendirilecek yansıtılacak öncelenecek ismi işleve işlevi sıfır işlevine
$öncelem	karakter tek bir önceleme karakteri
$özdevinimli_yükle	yapılıp yapılmayacağı çağrısı olarak __autoload öntanımlı
$türüne_de_bak	bakacaktır belirtilmişse nin içindeki true değiştirgede iğne türüne samanlık işlevi in_array()
$alfa	0-127 arasında belirtilebilir
$uyarı	uyarı verilecek
$sinyaller	listesi sinyalleri sinyal beklenecek dizi içeren
$alfa_kaydet	kaydedilmeyeceği alfa belirtilir kaydedilip false öntanımlıdır kanalının
$işlev_değiştirgeleri	ayrılmış dizgeler virgülle işlev değiştirgeleri halinde
$yükseklik	uçbirim yay yüksekliği kaynak elipsin sanal resmin
$filename	dosya yolu
$terim	dizge olarak terim
$pngdosya	yolu dosyasının png
$sıralama_türü	abecesel büyüğe küçükten sıralama öntanımlıdır olarak
$karş_işlevi	karşılaştırma işlevi geriçağırım
$oturum	sağlanan bağlantı tanıtıcısı bir ssh
$şifre	dizge şifre sabitlerinden mcrypt_şifre_adı algoritma ismi kullanılacak olarak bir algoritmanın
$parolası	belirtilir burada belirtilen korunuyorsa anahtar bir parola
$cct	dönen çoklu işlevinden tanıtıcısı curl
$hata_bağlamı	değiştirge kabul bağlı eden bir hatanın belirtilmesi oluştuğu simge beşinci işaret diziyi isteğe noktada tablosuna etkin
$titrek	resmin titrek olmayacağı belirtilir olup
$dosyatanitici	dönen elde tanıtıcı işlevinden edilmiş bir
$pattern	içine aramanın hiyerarşisi başlayacağı kutusu belirtir posta yeri
$tüm_satır	ilk sorgudan sütunun olarak öntanımlı döner değeri
$yönerge	yönergesinin yapılandırma ismi atanamaz işlevi yönergelerine değer yönergenin
$bilgi	dizi ilgili bilgilerin saklandığı sinyallerle
$eşsiz	özniteliği unique
$nesne	sınıf nesnesi bir tidy reflectionproperty ismi çağrılacak bakılacak sınanacak nesne
$sürüm	xml özelliğin özelliğinin özniteliğinin numarası version varlığı sürüm bildiriminin sınanacak özellik sürümü değeri
$secure	takdirde güvenli sadece gönderilir bağlantılar olduğu üzerinden çerez true
$yeni	eklenecek yeni listeye belirtmek sayıda kullanılabilir dizi düğüm değer çocuk
$context	bilginize bağlamsal php destek 5 :
$user	aidiyetinde kullanıcı doğrulamada çalışacağı ismi kullanılacak hesabı hizmetin kimlik
$gizankim	anahtar kullanılarak imza oluşturulur
$group	grup ismi kullanılacak kimlik doğrulamada
$belgetürü	belgenin türü null oluşturulacak
$resim1	resmin gerçek tanıtıcısı renkli sürümünün
$hdf_yüks	resmin yüksekliği hedef
$son_işlev	işlevin tanımlı toplama sonra çalıştırılacak kullanıcı ismi işlevinin işlemi veri php bittikten
$dizi_döndür	takdirde yerine döndürür nesne atandığı dizi işlev bir true
$path	yolunu dosya başlatıldığında çalıştırılacak çalıştırılabilirin tanımlar hizmet mutlak yolu alandaki çalışacağı çerezin
$şeffaflığı_yoksay	sıfırdan farklı yok belirtildiğinde sayılır renkler şeffaf bir değer
$kullanıcı	ftp izinleri değiştirilecek adı komutu: erişim konaktaki bağlı kullanıcı ismi user olarak isteğe uzak
$ihracet	yerine yansıtmak ihrac belirtilirse eder true
$oluşum	belirtmek değiştirgesi oluşum türünü program günlüğe kullanılır iletiyi kaydedecek
$system_id	harici bildiriminin gösterim betimleyicisi öğenin sistem
$error_control	sorun hizmet belirtilir ilgili saptadığında yapacağı bir yöneticisinin
$soket	oluşturulmuş geçerli socket_accept() öğrenilecek soket verinini ismi gönderileceği özkaynağı bir
$error_code	hata kodu icu
$bölümler	dosyadaki listesi kullanılmak üzere ayraçlı virgül üretiminde sonuç başlıkların dizisinin
$nanoseconds	zaman aşımı saniye cinsinden nano
$takvim	bilgi hesaplama takvim yapılacak istenen verilecek
$ufak	farklı algoritması düşer hızı kullanılır true açma uygulanır işlem sırasında yarıya bellek bir ancak
$yetkili_enesler	aktarılır gönderimli
$borular	karşılık dosya uçlarına tanıtıcılarını boru içeren dizi oluşturduğu indisli gelen phpnin bir
$arayuz	idispatch türevinden adı göstermek istediğiniz arayüz
$iletinum	ileti numarası
$alan	dönüştürülecek kodlu kodlaması adı ascii alan ismi döndürülecek evrenkoda veri kullanılabileceği çerezin idna
$iğne_öncesi	biten döndürür dizgesinde strstr() ilk iğne samanlık stristr() işlevi parçayı isefalse öntanımlıdır), true bulunan
$bölüntü	değiştirge ondalık iminin seçimlik gösterileceğini kaç hane sağında belirler
$zaman_asimi	zaman cinsinden milisaniye aşımı
$enboy_türü	olabilir ssh2_term_unit_chars ssh2_term_unit_pixels
$sabitadi	dizge olarak tanımlanmış adı sabitin
