ArrayAccess offset Get $konum	değerin döndürüleceği konum
function int tidy config count tidy $object	belgede saptanan tidy yapılandırma hatalarının sayısını d&ouml;nd&uuml;r&uuml;r
function tidy get output $nesne	tidy nesnesi
function string tidy get output	çözümlenen tidy imlenimini içeren bir dizge döner
function string tidy get output tidy $object	&ccedil;&ouml;z&uuml;mlenen tidy imlenimini bir dizge olarak d&ouml;nd&uuml;r&uuml;r
function tidy load config $dosya	yapılandırma dosyasının yolu
function tidy load config $kodlama	belge girdi / çıktı kodlaması belirtilir
function void tidy load config string $dosya string $kodlama	bir tidy yapılandırma dosyasını belirtilen kodlama ile y&uuml;kler
function bool tidy reset config	başarı durumunda true başarısızlık durumunda false döner
function bool tidy reset config	tidy yapılandırmasını &ouml;ntanımlı değerlere ayarlar
function tidy save config $dosya	yapılandırma dosyasının yolu
function bool tidy save config	başarı durumunda true başarısızlık durumunda false döner
function bool tidy save config string $dosya	ge&ccedil;erli ayarları belirtilen dosyaya kaydeder
function tidy set encoding $kodlama	belge girdi / çıktı kodlaması belirtilir
function bool tidy set encoding	başarı durumunda true başarısızlık durumunda false döner
function bool tidy set encoding string $encoding	&ccedil;&ouml;z&uuml;mlenecek imlenim i&ccedil;in girdi / &ccedil;ıktı karakter kodlamasını belirler
function tidy warning count $nesne	tidy nesnesi
function int tidy warning count	uyarı sayısı
function int tidy warning count tidy $nesne	belgede saptanan tidy uyarılarının sayısını d&ouml;nd&uuml;r&uuml;r
function time nanosleep $süre	beklenecek saniye sayısını belirten bir pozitif tamsayı
function time nanosleep $nanosüre	saniyenin milyarda birlerini belirten bir pozitif tamsayı
function mixed time nanosleep	başarı durumunda true başarısızlık durumunda false döner
function mixed time nanosleep int $süre int $nanosüre	&ccedil;alışmayı saniye ve nanosaniye cinsinden geciktirir
function time sleep until $zaman_damgası	betiğin uyanacağı zaman
function bool time sleep until	başarı durumunda true başarısızlık durumunda false döner
function bool time sleep until float $zaman_damgası	belirtilen zamana kadar betiği uyutur
function resource tmpfile	başarısızlık durumunda false aksi takdirde fopen() işlevinin yaptığı gibi yeni dosya için bir dosya tanıtıcısı ile döner
function resource tmpfile	ge&ccedil;ici bir dosya oluşturur
function token get all $kaynak	çözümlenecek php kaynak kodu
function array token get all	dizgecik betimleyicilerinden oluşan bir dizi
function array token get all string $kaynak	belirtilen kaynağı php dizgeciklerine ayırır
function token name $dizgecik	dizgecik değeri
function string token name	belirtilen dizgecik değerinin simgesel ismini döndürür
function string token name int $dizgecik	belirtilen php dizgeciğinin simgesel ismini d&ouml;nd&uuml;r&uuml;r
function touch $zaman	değişiklik zamanı
function touch $ezamanı	belirtilmişse dosyanın erişim zamanı ezamanı değerine ayarlanır
function touch $dosyaismi	erişilecek dosyanın ismi
function bool touch	başarı durumunda true başarısızlık durumunda false döner
function bool touch string $dosyaismi int $zaman int $ezamanı	dosyanın erişim ve değişiklik zamanını ayarlar
function trigger error $ileti	tetiklenen hata için tasarlanmış hata iletisi
function trigger error $tür	tetiklenen hata için tasarlanmış hata türü
function bool trigger error	tür yanlış belirtilmişse false aksi takdirde true döner
function bool trigger error string $ileti int $tür	kullanıcı seviyesinde bir hata / uyarı / bilgi iletisi &uuml;retir
function trim $dizge	budanacak dizge
function trim $karakterler	seçimlik olarak karakterler değiştirgesi kullanılarak budanacak karakterler belirlenebilir
function string trim	budanmış dizge
function string trim string $dizge string $karakterler	dizgenin başındaki ve sonundaki boşlukları veya diğer karakterleri budar
function uasort $karş_işlevi	kullanıcı tanamlı karşılaştırma işlevi örnekleri için usort() ve uksort() işlevlerine bakınız
function uasort $dizi	sıralanacak dizi
function bool uasort	başarı durumunda true başarısızlık durumunda false döner
function bool uasort array $dizi callback $karş_işlevi	bir diziyi kullanıcı tanımlı bir işlev kullanarak indislerine g&ouml;re sıralarken anahtar / değer ilişkisini korur
function uksort $karş_işlevi	karşılaştırma için geriçağırım işlevi
function uksort $dizi	sıralanacak dizi
function bool uksort	başarı durumunda true başarısızlık durumunda false döner
function bool uksort array $dizi callback $karş_işlevi	bir diziyi kullanıcı tanımlı bir işlev kullanarak anahtarlarına g&ouml;re sıralar
function unlink $dosyaismi	dosya yolu
function unlink $bağlam	bilginize : bağlamsal destek php 5
function bool unlink	başarı durumunda true başarısızlık durumunda false döner
function bool unlink string $dosyaismi resource $bağlam	bir dosyayı siler
function urldecode $dizge	kodlaması kaldırılacak dizge
function string urldecode	kodlanmamış dizge döner
function string urldecode string $dizge	url kodlamalı dizgenin kodlamasını &ccedil;&ouml;zer
function urlencode $dizge	kodlanacak dizge
function string urlencode	belirtilen dizge içindeki karakterlerden -_
function string urlencode string $dizge	dizgeye url kodlaması uygular
function usleep $süre	işlemsiz geçecek mikrosaniye cinsinden süre
function void usleep int $süre	&ccedil;alışmayı mikrosaniye cinsinden geciktirir
function usort $karş_işlevi	karşılaştırma için geriçağırım işlevi
function usort $dizi	sıralanacak dizi
function bool usort	başarı durumunda true başarısızlık durumunda false döner
function bool usort array $array callback $karş_işlevi	bir diziyi kullanıcı tanımlı bir işlev kullanarak değerlerine g&ouml;re sıralar
function utf8 decode $veri	utf-8 ile kodlanmış bir dizge
function string utf8 decode	belirtilen veri dizgesinin iso-8859-1 gösterimini döndürür
function string utf8 decode string $veri	iso-8859-1 karakterlerinin utf-8 g&ouml;sterimlerini iso-8859-1 g&ouml;sterimlerine d&ouml;n&uuml;şt&uuml;r&uuml;r
function variant cmp $sag	sağ terim
function variant cmp $sol	sol terim
function variant cmp $yerel	dizgeleri karşılaştırırken kullanılacak geçerli bir yerel tanımlayıcı dizge karşılaştırmayı etkiler
function variant cmp $secenekler	secenekler aşağıdakilerden biri veya birkaçı olabilir or ile birleştirilir ve dizge karşılaştırmasını etkiler: varyant karşılaştırma seçenekleri deger anlamı norm_ignorecase büyüklük duyarsız karşılaştırma norm_ignorenonspace boşluksuz karakterleri dikkate alma norm_ignoresymbols sembolleri dikkate alma norm_ignorewidth dizge genişliğini dikkate alma norm_ignorekanatype kana tarzını dikkate alma norm_ignorekashida arap keşide karakterini dikkate alma
function int variant cmp	aşağıdakilerden biri geri döner: varyant karşılaştırma sonuçları değer anlamı varcmp_lt sol sag dan küçüktür varcmp_eq sol ile sag eşittir varcmp_gt sol sag dan büyüktür varcmp_null sol sag veya ikisi birden null dur
function int variant cmp mixed $sol mixed $sag int $yerel int $secenekler	iki varyant değerini karşılaştırır
function variant date from timestamp $zamandamgasi	unix zaman damgası
function variant variant date from timestamp	vt_date türünde varyant bir değer döndürür
function variant variant date from timestamp int $zamandamgasi	unix zaman damgasının varyant tarih g&ouml;sterimini d&ouml;nd&uuml;r&uuml;r
function variant date to timestamp $varyant	varyant değer
function int variant date to timestamp	unix zaman damgası geri döner
function int variant date to timestamp variant $varyant	varyant tarih / zaman değerini unix zaman damgasına &ccedil;evirir
function variant div $sag	sağ terim
function variant div $sol	sol terim
function mixed variant div mixed $sol mixed $sag	iki varyant değerin b&ouml;lme sonucunu d&ouml;nd&uuml;r&uuml;r
function variant fix $varyant	varyant
function mixed variant fix	varyant negatif ise varyanta eşit veya büyük olan ilk negatif tamsayı diğer durumda varyant değerinin tamsayı kısmı geri döner
function mixed variant fix mixed $varyant	varyantın tamsayı kısmını geri d&ouml;nd&uuml;r&uuml;r
function variant get type $varyant	varyant nesne
function int variant get type	işlev varyant nesnesinin com dotnet veya variant sınıfından hangisinden türediğini gösteren bir tamsayı döndürür geri dönüş değeri vt_xxx sabitlerinden biri ile karşılaştırılabilir
function int variant get type variant $varyant	varyant nesnenin t&uuml;r&uuml;n&uuml; geri d&ouml;nd&uuml;r&uuml;r
function variant idiv $sag	sağ terim
function variant idiv $sol	sol terim
function mixed variant idiv mixed $sol mixed $sag	varyant değerleri tamsayıya &ccedil;evirir ve b&ouml;lme yaparak sonucu d&ouml;nd&uuml;r&uuml;r
function variant imp $sag	sağ terim
function variant imp $sol	sol terim
function mixed variant imp	varyant çıkarım tablosu sol sag sonuç true true true true false true true null true false true true false false true false null true null true true null false null null null null
function mixed variant imp mixed $sol mixed $sag	iki varyant &uuml;zerinde ikilik &ccedil;ıkarım yapar
function variant int $varyant	varyant
function mixed variant int	varyant negatif ise varyanta eşit veya büyük olan ilk negatif tamsayı diğer durumda varyant değerinin tamsayı kısmı geri döner
function mixed variant int mixed $varyant	varyantın tamsayı kısmını d&ouml;nd&uuml;r&uuml;r
function variant mod $sag	sağ terim
function variant mod $sol	sol terim
function mixed variant mod	bölme işleminden kalanı geri döndürür
function mixed variant mod mixed $sol mixed $sag	iki varyantın b&ouml;lme işleminden kalanı geri d&ouml;nd&uuml;r&uuml;r
function variant mul $sag	sağ terim
function variant mul $sol	sol terim
function mixed variant mul	varyant çarpma kuralları durum işlem iki deyimde dizge tarih karakter mantıksal türlerinden biri çarpma bir deyim dizge diğeri karakter çarpma bir deyim sayısal diğeri dizge çarpma her iki deyim sayısal çarpma biri null null döner her iki deyim boş ise boş bir dizge döner
function mixed variant mul mixed $sol mixed $sag	iki varyant değerleri i&ccedil;in &ccedil;arpma işlemi yapar
function variant neg $varyant	varyant
function mixed variant neg	mantıksal değil sonucunu döndürür
function mixed variant neg mixed $varyant	bir varyant &uuml;zerinde mantıksal değil işlemi yapar
function variant not $varyant	varyant
function mixed variant not	ikilik değil sonucunu döndürür
function mixed variant not mixed $varyant	bir varyant &uuml;zerinde ikilik değil işlemi yapar
function variant or $sag	sağ terim
function variant or $sol	sol terim
function mixed variant or	varyant veya kuralları sol sag sonuç true true true true false true true null true false true true false false false false null null null true true null false null null null null
function mixed variant or mixed $sol mixed $sag	iki varyant &uuml;zerinde mantıksal ayırma işlemi yapar
function variant round $ondalik	ondalık basamak sayısı
function variant round $varyant	varyant
function mixed variant round	yuvarlanmış sonucu döndürür
function mixed variant round mixed $varyant int $ondalik	bir varyantı verilen ondalık basamağa yuvarlar
function variant sub $sag	sağ terim
function variant sub $sol	sol terim
function mixed variant sub	varyant çıkartma kuralları durum işlem iki deyimde dizge türünde ise çıkartma bir deyim dizge diğeri karakter ise çıkartma bir deyim sayısal diğeri dizge ise çıkartma iki deyimde sayısal ise çıkartma iki deyimden biri null ise null döner iki deyimde boş ise boş dizge geri döner
function mixed variant sub mixed $sol mixed $sag	sağ varyant değerini sol varyant değerinden &ccedil;ıkartır
function variant xor $sag	sağ terim
function variant xor $sol	sol terim
function mixed variant xor	varyant mantıksal çıkarma kuralları sol sag sonuç true true false true false true false true true false false false null null null
function mixed variant xor mixed $sol mixed $sag	iki varyant arasında mantıksal &ccedil;ıkarma yapar
function vfprintf $dt	dosya tanıtıcısı
function vfprintf $biçem	biçem ile ilgili açıklama için sprintf() işlevine bakınız
function vfprintf $değiştirgeler	biçem dizgesine göre değerlendirilecek değiştirgelerden oluşan dizi
function int vfprintf	çıktılanan dizgenin uzunluğu ile döner
function int vfprintf resource $dt string $biçem array $değiştirgeler	bi&ccedil;emli dizgeyi bir akıma yazar
function virtual $dosya_adı	apache virtual komutunun çalıştıracağı dosya
function bool virtual	başarı halinde virtual komutu çalıştırılır hata halinde false döndürür
function bool virtual string $dosya_adı	bir apache alt isteği ger&ccedil;ekleştirir
function vprintf $biçem	biçem ile ilgili açıklama için sprintf() işlevine bakınız
function vprintf $değiştirgeler	biçem dizgesine göre değerlendirilecek değiştirgelerden oluşan dizi
function int vprintf	çıktılanan dizgenin uzunluğu ile döner
function int vprintf string $biçem array $değiştirgeler	bi&ccedil;emli bir dizge &ccedil;ıktılar
function wddx add vars $pt	wddx_packet_start() tarafından döndürülmüş bir wddx paket tanıtıcısı
function wddx add vars $değişken	bir değişken ismi veya değişken isimlerini veya diğer dizileri ve benzerlerini içeren bir dizi olabilir
function bool wddx add vars	başarı durumunda true başarısızlık durumunda false döner
function bool wddx add vars resource $pt mixed $değişken	tanıtıcısı belirtilen wddx paketine değişken ekler
function wddx packet end $pt	wddx_packet_start() tarafından döndürülmüş bir wddx paket tanıtıcısı
function string wddx packet end	wddx paketini içeren bir dizge döner
function string wddx packet end resource $pt	tanıtıcısı belirtilen wddx paketini kapatır
function wddx packet start $açıklama	belirtilmesi isteğe bağlı bir açıklama dizgesi
function resource wddx packet start	bir hata oluşursa false yoksa daha sonra işlevlerde kullanılmak üzere bir paket tanıtıcısı döner
function resource wddx packet start string $azıklama	bir veri yapısı i&ccedil;eren yeni bir wddx paketi başlatır
function wddx serialize value $açıkama	paket başlığında görünmek üzere belirtilmesi isteğe bağlı açıklama dizgesi
function wddx serialize value $değer	dizgeleştirilecek değer
function string wddx serialize value	bir hata oluşursa false yoksa bir wddx paketi döner
function string wddx serialize value mixed $değer string $açıkama	tek bir değeri bir wddx paketi i&ccedil;inde dizgeleştirir
function wddx serialize vars $değişken	bir değişken ismi veya değişken isimlerini veya diğer dizileri ve benzerlerini içeren bir dizi olabilir
function string wddx serialize vars	bir hata oluşursa false yoksa bir wddx paketi döner
function string wddx serialize vars mixed $değişken	değişkenleri bir wddx paketi olara dizgeleştirir
function array win32 ps list procs	başarısızlık durumunda false aksi takdirde win32_ps_stat_proc() işlevinin bir süreç için döndürdüğü istatistikleri çalışan tüm süreçler için bir dizi olarak döndürür
function array win32 ps list procs	&ccedil;alışan s&uuml;re&ccedil;leri listeler
function win32 ps stat proc $pid	durumu döndürülecek sürecin süreç kimliği
function array win32 ps stat proc	başarısızlık durumunda false aksi takdirde aşağıdaki bilgileri içeren bir dizi döner:
function array win32 ps stat proc int $pid	belirtilen s&uuml;re&ccedil;le ilgili istatistikleri d&ouml;nd&uuml;r&uuml;r
function win32 query service status $hizmet	hizmetin kısa ismi
function win32 query service status $makine	isteğe bağlı olarak makine ismi
function mixed win32 query service status	başarısızlık durumunda false aksi takdirde aşağıdaki bilgileri içeren bir dizi döner:
function mixed win32 query service status string $hizmet string $makine	bir hizmetin durumunu sorgular
function win32 set service status $durum	hizmet durum kodu
function bool win32 set service status	başarı durumunda true başarısızlık durumunda false döner
function bool win32 set service status int $durum	hizmet durumunu g&uuml;nceller
function win32 start service ctrl dispatcher $isim	hizmetin win32_create_service() tarafından tanıtılan kısa ismi
function mixed win32 start service ctrl dispatcher	başarılı olursa true aksi takdirde bir win32 hata kodu döner
function mixed win32 start service ctrl dispatcher string $isim	hizmet y&ouml;neticisine ismi belirtilen hizmet gibi davranacak bir betik tanıtır
function win32 start service $hizmet	hizmetin kısa ismi
function win32 start service $makine	isteğe bağlı olarak makine ismi
function int win32 start service	başarı durumunda win32_no_error aksi takdirde bir win32 hata kodu döner
function int win32 start service string $hizmet string $makine	bir hizmeti başlatır
function win32 stop service $hizmet	hizmetin kısa ismi
function win32 stop service $makine	belirtilmesi isteğe bağlıdır
function int win32 stop service	başarı durumunda win32_no_error aksi takdirde bir win32 hata kodu döner
function int win32 stop service string $hizmet string $makine	bir hizmeti durdurur
function wordwrap $kes	kes true ise dizge belirtilen genişlikte veya daha önce satırdaki son sözcüğü kesme pahasına katlanır
function wordwrap $dizge	girdi dizgesi
function wordwrap $genişlik	sütun genişliği; 75 öntanımlıdır
function wordwrap $satırsonu	satırın sonuna eklenecek isteğe bağlı satırsonu karakteri
function string wordwrap	belirtilen sütunda katlanan dizgeyi döndürür
function string wordwrap string $dizge int $genişlik string $satırsonu bool $kes	bir dizgeyi belli bir uzunlukta katlar
function xattr get $isim	özniteliğin ismi
function xattr get $seçenekler	desteklenen xattr seçenekleri xattr_dontfollow sembolik bağlar izlenmez sembolik bağın kendisinde işlem yapar
function xattr get $dosya	özniteliği sorgulanacak dosyanın yolu
function string xattr get	öznitelik tanımlı değilse false tanımlıysa değeri bir dizge olarak döndürür
function string xattr get string $dosya string $isim int $seçenekler	bir &ouml;zniteliğin değerini d&ouml;nd&uuml;r&uuml;r
function xattr list $dosya	dosya yolu
function xattr list $seçenekler	desteklenen xattr seçenekleri xattr_dontfollow sembolik bağlar izlenmez sembolik bağın kendisinde işlem yapar
function array xattr list	ek özniteliklerin isimlerini içeren bir dizi döndürür
function array xattr list string $dosya int $seçenekler	ek &ouml;zniteliklerin listesini d&ouml;nd&uuml;r&uuml;r
function xattr remove $dosya	özniteliği silinecek dosyanın yolu
function xattr remove $isim	silinecek özniteliğin ismi
function xattr remove $seçenekler	desteklenen xattr seçenekleri xattr_dontfollow sembolik bağlar izlenmez sembolik bağın kendisinde işlem yapar
function bool xattr remove	başarı durumunda true başarısızlık durumunda false döner
function bool xattr remove string $dosya string $isim int $seçenekler	bir ek &ouml;zniteliği siler
function xattr set $seçenekler	desteklenen xattr seçenekleri xattr_create ek öznitelik zaten tanımlıysa işlev başarısız olur
function xattr set $değer	özniteliğin değeri
function xattr set $isim	ek özniteliğin ismi
function xattr set $dosya	özniteliği tanımlanacak dosyanın yolu
function bool xattr set	başarı durumunda true başarısızlık durumunda false döner
function bool xattr set string $dosya string $isim string $değer int $seçenekler	bir ek &ouml;zniteliği tanımlar
function xattr supported $dosya	sınanacak dosyanın yolu
function xattr supported $seçenekler	desteklenen xattr seçenekleri xattr_dontfollow sembolik bağlar izlenmez sembolik bağın kendisinde işlem yapar
function bool xattr supported	dosya sistemi ek öznitelikleri destekliyorsa true desteklemiyorsa false yanlış yol belirtimi veya okuma izninin yokluğu gibi sebeplerle destek saptanamazsa null döner
function bool xattr supported string $dosya int $seçenekler	dosya sistemi ek &ouml;znitelikleri destekliyor mu diye bakar
function xdiff file bpatch $hedef	sonucun kaydedileceği dosyanın yolu
function xdiff file bpatch $dosya	yamanın uygulanacağı dosyanın yolu
function xdiff file bpatch $yama	ikil yama dosyası
function bool xdiff file bpatch	başarı durumunda true başarısızlık durumunda false döner
function bool xdiff file bpatch string $dosya string $yama string $hedef	bir dosyaya bir ikil yama uygular
function xdiff file diff $bağlam	her değişikliğin altında ve üstünde kaç bağlam satırının bulunacağı belirtilir
function xdiff file diff $hedef	elde edilen yamanın kaydedileceği dosyanın yolu
function xdiff file diff $yeni_dosya	ikinci dosyanın yolu
function xdiff file diff $eski_dosya	ilk dosyanın yolu
function xdiff file diff $küçült	true atandığı takdirde mümkün olan en küçük yama dizgesi oluşturulmaya çalışılır işlem biraz uzun sürebilir
function bool xdiff file diff	başarı durumunda true başarısızlık durumunda false döner
function bool xdiff file diff string $eski_dosya string $yeni_dosya string $hedef int $bağlam bool $küçült	iki dosyanın tekil farkını alır
function xdiff file merge3 $hedef	sonucun kaydedileceği dosyanın yolu
function xdiff file merge3 $yeni_dosya1	ikinci dosyanın yolu
function xdiff file merge3 $eski_dosya	ilk dosyanın yolu
function xdiff file merge3 $yeni_dosya2	üçüncü dosyanın yolu
function mixed xdiff file merge3	dahili bir hata oluşmuşsa false katıştırma başarılıysa true reddedilen değişiklikler varsa reddedilen parçaları içeren bir dizge döner
function mixed xdiff file merge3 string $eski_dosya string $yeni_dosya1 string $yeni_dosya2 string $hedef	&uuml;&ccedil; dosyayı tek dosya haline getirir
function xdiff file patch binary $hedef	sonucun kaydedileceği dosyanın yolu
function xdiff file patch binary $dosya	yamanın uygulanacağı dosyanın yolu
function xdiff file patch binary $yama	ikil yama dosyası
function bool xdiff file patch binary	başarı durumunda true başarısızlık durumunda false döner
function bool xdiff file patch binary string $dosya string $yama string $hedef	xdiff_file_bpatch işlevinin takma adıdır
function xdiff file patch $yama	xdiff_string_diff() ve xdiff_file_diff() işlevleriyle veya uygun araçlarla üretilmiş tekil yama dizgesi
function xdiff file patch $dosya	yamanın uygulanacağı dosyanın yolu
function xdiff file patch $hedef	sonucun kaydedileceği dosyanın yolu
function xdiff file patch $seçenekler	xdiff_patch_normal öntanımlı kip normal yama veya xdiff_patch_reverse tersinir yama olabilir
function mixed xdiff file patch	dahili bir hata oluşmuşsa false yama başarıyla uygulanmışsa true reddedilen değişiklikler varsa reddedilen parçaları içeren bir dizge döner
function mixed xdiff file patch string $dosya string $yama string $hedef int $seçenekler	bir dosyaya bir tekil yama uygular
function xdiff file rabdiff $hedef	elde edilen yama dosyasının dosya yolu
function xdiff file rabdiff $eski_dosya	ilk ikil veri dosyası; eski dosya olarak ele alınır
function xdiff file rabdiff $yeni_dosya	ikinci ikil veri dosyası; yeni dosya olarak ele alınır
function bool xdiff file rabdiff	başarı durumunda true başarısızlık durumunda false döner
function bool xdiff file rabdiff string $eski_dosya string $yeni_dosya string $hedef	rabin'in &ccedil;ok terimli parmakizi algoritmasını kullanarak iki dizgenin ikil olarak farkını alır
function xdiff string bdiff size $yama	xdiff_string_bdiff() veya xdiff_string_rabdiff() tarafından oluşturulmuş bir ikil yama dizgesi
function int xdiff string bdiff size	oluşacak dosyanın boyutunu döndürür
function int xdiff string bdiff size string $yama	belirtilen ikil yama uygulanarak oluşturulacak dosyanın boyutunu d&ouml;nd&uuml;r&uuml;r
function xdiff string diff $küçült	true atandığı takdirde mümkün olan en küçük yama dizgesi oluşturulmaya çalışılır işlem biraz uzun sürebilir
function xdiff string diff $bağlam	her değişikliğin altında ve üstünde kaç bağlam satırının bulunacağı belirtilir
function xdiff string diff $eski_veri	ilk veri dizgesi
function xdiff string diff $yeni_veri	ikinci veri dizgesi
function string xdiff string diff	bir hata oluşmuşsa false yoksa elde edilen fark dizgesi döner
function string xdiff string diff string $eski_veri string $yeni_veri int $bağlam bool $küçült	iki dizgenin tekil farkını alır
function xdiff string merge3 $hatalar	katıştırma işlemi sırasında reddedilen parçalar belirtildiği takdirde bu değişkende saklanır
function xdiff string merge3 $yeni_veri1	ikinci veri dizgesi
function xdiff string merge3 $yeni_veri2	üçüncü veri dizgesi
function xdiff string merge3 $eski_veri	özgün veri
function mixed xdiff string merge3	dahili bir hata oluşmuşsa false elde edilen dizge boşsa true yoksa elde edilen dizge döner
function mixed xdiff string merge3 string $eski_veri string $yeni_veri1 string $yeni_veri2 string $hatalar	&uuml;&ccedil; dizgeyi tek bir dizge haline getirir
function xdiff string patch $yama	xdiff_string_diff() ve xdiff_file_diff() işlevleriyle veya uygun araçlarla üretilmiş tekil yama dizgesi
function xdiff string patch $hata	sağlandığı takdirde reddedilen yama parçaları bu değişkende döndürülür
function xdiff string patch $seçenekler	xdiff_patch_normal öntanımlı kip normal yama veya xdiff_patch_reverse tersinir yama olabilir
function xdiff string patch $dizge	yamanacak dizge
function string xdiff string patch	hata oluşursa false yoksa yamanmış dizgeyi döndürür
function string xdiff string patch string $dizge string $yama int $seçenekler string $hata	bir dizgeyi bir tekil fark dizgesi ile yamar
function xdiff string bdiff $eski_veri	ilk veri dizgesi
function xdiff string bdiff $yeni_veri	ikinci veri dizgesi
function string xdiff string bdiff	bir hata oluşmuşsa false yoksa elde edilen fark dizgesi döner
function string xdiff string bdiff string $eski_veri string $yeni_veri	iki dizgenin ikil farkını alır
function xml error string $hatanum	xml_get_error_code() işlevinden dönen hata kodu
function string xml error string	belirtilen hatanum ile ilgili bir açıklama yoksa false aksi takdirde açıklama dizgesini döndürür
function string xml error string int $hatanum	xml &ccedil;&ouml;z&uuml;mleyici hata iletisini d&ouml;nd&uuml;r&uuml;r
function xml get current byte index $çözümleyici	xml_parser_create() ve xml_parser_create_ns() işlevleri tarafından döndürülen bir xml özkaynağı
function int xml get current byte index	çözümleyici olarak geçerli bir çözümleyici belirtilmemişse false aksi takdirde çözümleyici veri tamponundaki geçerli baytın indisini döndürür ilk baytın indisi 0dır
function int xml get current byte index resource $çözümleyici	xml &ccedil;&ouml;z&uuml;mleyicinin ge&ccedil;erli bayt indisini d&ouml;nd&uuml;r&uuml;r
function xml get current column number $çözümleyici	xml_parser_create() ve xml_parser_create_ns() işlevleri tarafından döndürülen bir xml özkaynağı
function int xml get current column number	çözümleyici olarak geçerli bir çözümleyici belirtilmemişse false aksi takdirde çözümleyici veri tamponunda hatanın oluştuğu xml_get_current_line_number() ile döndürülen satırdaki hatalı yerin sütun numarasını döndürür
function int xml get current column number resource $parser	xml &ccedil;&ouml;z&uuml;mleyicide hatanın oluştuğu satırdaki s&uuml;tun numarasını d&ouml;nd&uuml;r&uuml;r
function xml get current line number $çözümleyici	xml_parser_create() ve xml_parser_create_ns() işlevleri tarafından döndürülen bir xml özkaynağı
function int xml get current line number	çözümleyici olarak geçerli bir çözümleyici belirtilmemişse false aksi takdirde çözümleyici veri tamponunda hatanın oluştuğu satırın numarasını döndürür
function int xml get current line number resource $parser	xml &ccedil;&ouml;z&uuml;mleyicide hatanın oluştuğu satırı d&ouml;nd&uuml;r&uuml;r
function xml get error code $çözümleyici	xml_parser_create() ve xml_parser_create_ns() işlevleri tarafından döndürülen bir xml özkaynağı
function int xml get error code	çözümleyici olarak geçerli bir çözümleyici belirtilmemişse false aksi takdirde hata kodları sayfasında listelenen hata kodlarından biri döner
function int xml get error code resource $çözümleyici	xml &ccedil;&ouml;z&uuml;mleyici hata kodunu d&ouml;nd&uuml;r&uuml;r
function xml parse into struct $çözümleyici	xml_parser_create() ve xml_parser_create_ns() işlevleri tarafından döndürülen bir xml özkaynağı
function int xml parse into struct	başarısızlık durumunda 0 başarı durumunda 1 döner
function int xml parse into struct resource $çözümleyici string $veri array $değerler array $indis	xml veriyi &ccedil;&ouml;z&uuml;mleyip sonucu bir dizi i&ccedil;inde d&ouml;nd&uuml;r&uuml;r
function xml parser free $çözümleyici	xml_parser_create() ve xml_parser_create_ns() işlevleri tarafından döndürülen bir xml özkaynağı
function bool xml parser free	belirtilen xml çözümleyici geçersizse false döndürür aksi takdirde çözümleyiciyi serbest bırakıp true döndürür
function bool xml parser free resource $çözümleyici	xml &ccedil;&ouml;z&uuml;mleyiciyi serbest bırakır
function xml parser get option $çözümleyici	xml_parser_create() ve xml_parser_create_ns() işlevleri tarafından döndürülen bir xml özkaynağı
function xml parser get option $seçenek	değeri öğrenilecek seçenek
function mixed xml parser get option	çözümleyici veya seçenek geçerli değilse false döner ve ayrıca bir e_warning çıktılanır aksi takdirde seçeneğin değeri döner
function mixed xml parser get option resource $çözümleyici int $seçenek	xml &ccedil;&ouml;z&uuml;mleyici se&ccedil;eneklerini d&ouml;nd&uuml;r&uuml;r
function xml parser set option $çözümleyici	xml_parser_create() ve xml_parser_create_ns() işlevleri tarafından döndürülen bir xml özkaynağı
function xml parser set option $seçenek	değer atanacak seçenek
function xml parser set option $değer	seçeneğin değeri
function bool xml parser set option	çözümleyici olarak geçerli bir çözümleyici belirtilmemişse veya seçenek atanamazsa false aksi takdirde true döner
function bool xml parser set option resource $çözümleyici int $seçenek mixed $değer	xml &ccedil;&ouml;z&uuml;mleyici se&ccedil;eneklerini belirler
function xml set character data handler $çözümleyici	xml_parser_create() ve xml_parser_create_ns() işlevleri tarafından döndürülen bir xml özkaynağı
function xml set character data handler $eylemci	xml_parse() işlevi çözümleyici için çağrıldığında mevcut olması gereken işlevin ismini içeren dizge
function xml set character data handler $data	ikinci değiştirge olan veri karakter verisini dizge olarak içerir
function xml set character data handler $çözümleyici	ilk değiştirge eylemci işlevi çağıran xml çözümleyicinin tanıtıcısıdır
function bool xml set character data handler	başarı durumunda true başarısızlık durumunda false döner
function bool xml set character data handler resource $çözümleyici callback $eylemci	karakter verisi eylemcisini belirler
function xml set default handler $veri	ikinci değiştirge olan veri karakter verisini içerir
function xml set default handler $çözümleyici	xml_parser_create() ve xml_parser_create_ns() işlevleri tarafından döndürülen bir xml özkaynağı
function xml set default handler $eylemci	xml_parse() işlevi çözümleyici için çağrıldığında mevcut olması gereken işlevin ismini içeren dizge
function xml set default handler $çözümleyici	ilk değiştirge eylemci işlevi çağıran xml çözümleyicinin tanıtıcısıdır
function bool xml set default handler	başarı durumunda true başarısızlık durumunda false döner
function bool xml set default handler resource $çözümleyici callback $eylemci	&ouml;ntanımlı eylemciyi belirler
function xml set end namespace decl handler $çözümleyici	xml_parser_create() ve xml_parser_create_ns() işlevleri tarafından döndürülen bir xml özkaynağı
