$upperrighty	upperrighty
pdf_clip	pdf_clip
__clone	  clone
get_meta_tags	get meta tags
$i	$i
oauth	oauth
$limit	limit
$hostname	string
ctype_graph	ctype_graph
pg_field_name	pg field name
pg_field_type_oid	pg field type oid
$ph_name	$ph_name
checkpurpose	checkpurpose
$x2	x2
$walk_to_top	walk_to_top
imap_lsub	imap lsub
$is_null	is_null
$types	types
pg_connection_status	pg_connection_status
crack_check	crack check
$fd2	mixed
ob_end_clean	ob_end_clean
$note_value	string
dbase_delete_record	dbase_delete_record
dio_open	dio_open
msql_connect	msql connect
$certificate	certificate
openssl_public_encrypt	openssl public encrypt
$modulus	modulus
iconv_get_encoding	iconv get encoding
clip	clip
hostname	hostname
loop	loop
hebrevc	hebrevc
$arg_separator	arg_separator
lcfirst	lcfirst
ftp_raw	ftp_raw
is_uploaded_file	is_uploaded_file
pdf_shading_pattern	pdf shading pattern
mssql	mssql
msql_field_flags	msql field flags
$row_b	row_b
dirname	dirname
$result_type	result_type
__clone	__clone
$x509	$x509
glob	glob
mysql_errno	mysql_errno
$contents	contents
$y3	$y3
$chunklen	int
$base	int
$x509	mixed
array_multisort	array_multisort
imap_listscan	imap_listscan
real	real
user	user
$errornum	$errornum
array_replace	array replace
fbsql_error	fbsql_error
is_executable	is executable
$pos	int
$tobase	int
connect	connect
mssql_free_statement	mssql_free_statement
$end	end
$double_encode	bool
$callable_name	$callable_name
$skip	int
pdf_begin_item	pdf_begin_item
imap_rfc822_parse_headers	imap_rfc822_parse_headers
$tag_name	$tag_name
method	method
curl_errno	curl errno
pdf_closepath_stroke	pdf closepath stroke
$resumepos	resumepos
$second	$second
pdf_info_matchbox	pdf info matchbox
$c2	$c2
openssl_free_key	openssl free key
$x1	x1
pdf_delete	pdf_delete
$proj	$proj
gzcompress	gzcompress
msql_connect	msql_connect
rect	rect
function	function
dbase_get_header_info	dbase_get_header_info
$tablename	tablename
mysql_connect	mysql connect
pdf_arcn	pdf arcn
$which	int
open	open
layer	layer
rollback	rollback
pcntl_wstopsig	pcntl_wstopsig
imap_uid	imap uid
inet_pton	inet_pton
$case	int
ob_iconv_handler	ob_iconv_handler
array_push	array push
imap_fetchstructure	imap fetchstructure
pdf_create_gstate	pdf create gstate
$miter	$miter
$num	int
array_map	array_map
$pagenumber	$pagenumber
$page_number	$page_number
msql_list_dbs	msql list dbs
$x	$x
exif	exif
pdf_endpath	pdf_endpath
gnupg_encrypt	gnupg encrypt
pdf_setlinejoin	pdf_setlinejoin
pdf_arcn	pdf_arcn
chunk	chunk
$connection	connection
$fields	$fields
mysql_list_tables	mysql list tables
curl_init	curl_init
$keys	$keys
$infilename	string
$suffix	$suffix
$extra_headers	extra_headers
maxdb_more_results	maxdb more results
ob_end_flush	ob_end_flush
$hex_string	string
$domain	$domain
$part_number	$part_number
imagegif	imagegif
$user_agent	$user_agent
$blackls1	$blackls1
$full_info	$full_info
$x3	x3
font	font
pdf_set_text_pos	pdf_set_text_pos
$get_as_float	bool
openssl_pkcs12_read	openssl pkcs12 read
init	init
$entry	$entry
imap_errors	imap_errors
pg_close	pg close
fget	fget
$minute	$minute
apache_lookup_uri	apache_lookup_uri
$context	$context
$preserve_keys	bool
strerror	strerror
setopt	setopt
pg_field_prtlen	pg field prtlen
array_reverse	array reverse
$ch	$ch
mssql_get_last_message	mssql_get_last_message
crack_closedict	crack closedict
eio_dup2	eio_dup2
pdf_pcos_get_number	pdf_pcos_get_number
get_browser	get_browser
$ip_address	ip_address
$additional_parameters	string
$mime_encoded_text	mime_encoded_text
db	db
cal_days_in_month	cal_days_in_month
com_load_typelib	com load typelib
oci_fetch	oci fetch
len	len
$priv_key_id	priv_key_id
mssql_num_fields	mssql num fields
array_merge_recursive	array merge recursive
inclued	inclued
jddayofweek	jddayofweek
fbsql_free_result	fbsql free result
$old_mbox	old_mbox
log	log
$wx	wx
$ch	resource
ingres_cursor	ingres_cursor
gettext	gettext
ignore	ignore
$errno	$errno
ingres_prepare	ingres_prepare
$array1	$array1
$cipherid	cipherid
cbc	cbc
$timezone_identifier	timezone_identifier
shfill	shfill
$filters	int
as	as
$to_parse	to_parse
gzdeflate	gzdeflate
$result_array	result_array
pdf_begin_template	pdf_begin_template
$return	bool
$protocol	string
pdf_fill_imageblock	pdf fill imageblock
$addtl	$addtl
natcasesort	natcasesort
dba_nextkey	dba nextkey
fbsql_field_seek	fbsql_field_seek
$return_float	return_float
dbx_sort	dbx_sort
mssql_min_message_severity	mssql_min_message_severity
imagearc	imagearc
ftp_get_option	ftp get option
directory	directory
mssql_rows_affected	mssql rows affected
$hebrew_text	$hebrew_text
$userdata	userdata
$k	int
$param_name	string
pdf_create_bookmark	pdf create bookmark
bin2hex	bin2hex
fit	fit
dbase_get_record	dbase_get_record
getmailboxes	getmailboxes
openssl_pkcs7_sign	openssl pkcs7 sign
pdf_open_image_file	pdf open image file
$ordering	string
connection_status	connection_status
openssl_pkey_get_details	openssl pkey get details
msql_create_db	msql_create_db
$return_var	$return_var
function_exists	function exists
pg_delete	pg_delete
$key	key
$x	x
get_declared_classes	get_declared_classes
imap_check	imap check
$client_flags	$client_flags
pg_dbname	pg_dbname
mysql_insert_id	mysql_insert_id
pdf_end_item	pdf end item
maxdb_more_results	maxdb_more_results
$component	component
$row_a	row_a
$part_number	part_number
$from	string
mt_srand	mt_srand
fbsql_autocommit	fbsql autocommit
jewishtojd	jewishtojd
fbsql_hostname	fbsql hostname
ob_iconv_handler	ob iconv handler
$dictionary	$dictionary
$calendar	$calendar
$...	mixed
ingres_fetch_row	ingres fetch row
$record	record
offset	offset
element	element
$octal_string	string
dba	dba
ldap_connect	ldap_connect
apache_request_headers	apache_request_headers
pdf_rect	pdf_rect
$bz	bz
$errstr	string
$value	mixed
from	from
$workfactor	$workfactor
$cc	cc
flags	flags
$msglist	$msglist
get_defined_vars	get defined vars
$x509cert	$x509cert
$enc_type	enc_type
imap_alerts	imap alerts
fdf_set_file	fdf set file
$target	string
ingres_fetch_object	ingres fetch object
$bind_arg	$bind_arg
matchbox	matchbox
ibase_fetch_row	ibase_fetch_row
array_replace	array_replace
$user_agent	user_agent
curl_multi_exec	curl_multi_exec
ob_start	ob start
$weight	array
$fontname	string
pdf_set_value	pdf_set_value
textblock	textblock
literal	literal
$lowerlefty	$lowerlefty
oci_free_statement	oci free statement
$passphrase	$passphrase
delete	delete
halt	halt
$subject	$subject
$result	result
$pdfdoc	$pdfdoc
ftp_size	ftp_size
$to_parse	string
fbsql_password	fbsql_password
ldap_connect	ldap connect
__set_state	__set_state
$d	$d
$position	int
$chunk_size	$chunk_size
convert_cyr_string	convert_cyr_string
$column_key	column_key
$uv	$uv
suspend	suspend
$privkey	mixed
$opt	$opt
password_verify	password_verify
remove	remove
array_flip	array_flip
ingres_field_precision	ingres field precision
dbase_numrecords	dbase_numrecords
$new_mbox	string
array_slice	array_slice
8bit	8bit
mysql_error	mysql_error
$whence	$whence
encryptsign	encryptsign
$field_name	field_name
$host_name	$host_name
mssql_pconnect	mssql pconnect
$database	string
$method	method
is_float	is_float
needs	needs
lob	lob
$jday	$jday
exif_thumbnail	exif_thumbnail
get_resource_type	get resource type
$file	mixed
mysql_get_host_info	mysql_get_host_info
import	import
filepro_fieldtype	filepro_fieldtype
$contents	int
$result	object
mysql_fetch_assoc	mysql fetch assoc
msql_free_result	msql free result
with	with
$pub_key_id	mixed
proto	proto
$lowerlefty	lowerlefty
pdf_create_3dview	pdf create 3dview
$perms	perms
extension_loaded	extension_loaded
$query	string
pg_field_type	pg_field_type
array_unshift	array unshift
fbsql_data_seek	fbsql data seek
imap_8bit	imap_8bit
$bcc	bcc
$is_dst	$is_dst
eio_grp	eio grp
$dither	$dither
unset	unset
$result_id	$result_id
ping	ping
cosh	cosh
imap_mail_copy	imap mail copy
imap_num_recent	imap num recent
$padding	int
$doc	int
contents	contents
expunge	expunge
fbsql_error	fbsql error
$section	section
mysql_select_db	mysql_select_db
bytea	bytea
$dest_width	$dest_width
mysql_client_encoding	mysql client encoding
$signmode	int
mysql_create_db	mysql_create_db
$fl	int
oci_fetch_row	oci_fetch_row
array_rand	array_rand
filetype	filetype
pdf_get_errnum	pdf_get_errnum
$dither	bool
chgrp	chgrp
$sx	sx
mssql_field_name	mssql field name
imap_utf7_encode	imap_utf7_encode
$field_number	$field_number
long	long
$c2	c2
handler	handler
ingres_autocommit	ingres autocommit
$newflags	newflags
handle	handle
isset	isset
mode	mode
$signature	signature
pg_copy_from	pg_copy_from
$text	$text
$x509certdata	$x509certdata
imap_createmailbox	imap_createmailbox
setlinejoin	setlinejoin
compact	compact
http_build_query	http build query
openssl_csr_sign	openssl_csr_sign
$connect_type	connect_type
ldap_modify	ldap_modify
pdf_fill_stroke	pdf_fill_stroke
$mxhosts	mxhosts
sync	sync
names	names
$ty	ty
pg_get_notify	pg_get_notify
fbsql_field_name	fbsql_field_name
$database_options	database_options
gstate	gstate
xy	xy
openssl_sign	openssl_sign
msql_field_len	msql_field_len
dns_get_record	dns get record
imap_search	imap search
lineto	lineto
com_load_typelib	com_load_typelib
$modifier	$modifier
numeric	numeric
execute	execute
addslashes	addslashes
$result_array	array
$extracerts	string
$option	$option
fflush	fflush
pdf_findfont	pdf findfont
$prefix	string
curl_exec	curl exec
$open_data	string
mysql_drop_db	mysql_drop_db
gzseek	gzseek
$quality	int
dbs	dbs
$code	string
$module	$module
$envelope	array
openssl_pkey_get_private	openssl_pkey_get_private
fbsql_field_table	fbsql_field_table
$msgid1	$msgid1
fbsql_fetch_row	fbsql fetch row
bbcode_add_element	bbcode_add_element
unshift	unshift
ctype_upper	ctype_upper
$internal_date	internal_date
$format	format
getlastmod	getlastmod
$initial	$initial
$r	r
cursor	cursor
$threshold	$threshold
pdf_utf16_to_utf8	pdf_utf16_to_utf8
pdf_begin_document	pdf begin document
$in_charset	in_charset
$recipcert	$recipcert
by	by
$client_flags	int
fbsql_autocommit	fbsql_autocommit
uintersect	uintersect
$unescaped_string	$unescaped_string
imap_setacl	imap setacl
$host	string
headers_sent	headers sent
$image	int
ingres_field_type	ingres field type
sort	sort
pdf_circle	pdf circle
pdf_new	pdf_new
$result	resource
ingres_field_nullable	ingres_field_nullable
$text	text
$limit	int
$addtl	addtl
$cx	$cx
msql_field_table	msql field table
$year	year
$server	string
func_get_arg	func_get_arg
lsub	lsub
$typemap	typemap
connection	connection
checkdnsrr	checkdnsrr
$a	$a
acosh	acosh
buffer	buffer
$unescaped_string	unescaped_string
$cipher	cipher
msql_drop_db	msql_drop_db
mysql_insert_id	mysql insert id
pg_dbname	pg dbname
$tx	tx
natsort	natsort
$b	$b
$f	float
fbsql_select_db	fbsql select db
$remote_file	$remote_file
$length	length
punct	punct
$image	resource
$csr	resource
closelog	closelog
$stmtname	string
$jday	jday
ingres_fetch_array	ingres fetch array
dbx_fetch_row	dbx_fetch_row
$escape	string
$variable	$variable
$pasv	pasv
$url	$url
$params	array
$operand	operand
$in_charset	$in_charset
pdf_stringwidth	pdf_stringwidth
password	password
$input	$input
$field_number	int
$str1	$str1
pdf_setrgbcolor	pdf setrgbcolor
pdf_restore	pdf_restore
$quota_root	quota_root
$direction	string
$limit	$limit
imap_get_quota	imap get quota
$charset	int
imap_undelete	imap undelete
$len	$len
fdf_set_value	fdf_set_value
