$düşük	değer düşük
$hint	available currently stands hint fieldcache top level one top_fc
$buf	fuente удалённый distant 受信 enthält reçues send source bloc récupérées sent 含む взяты spécifiée comme especifivada contenant écrites partie переменную necesitan placées prises chunk れ réponse geschrieben données specified entfernten spezifiziert 変数 depuis データ written lobjet reply 格納 gesendet body 送信 отправлены параметре eventbuffer host les た received être gelesen будут хост contiene información daten переданы puffer fetched lhôte empfangene lob данные envoyer paramètre する буфера part buf enviada target escribir traida datos буфер содержащий バッファ отправляемые envoyées 、 need которые ます containing objeto eingelesen полученные リモートホスト buffer sendedaten object 指定 empfangenen さ variable data response recuperada doivent remote recibida указанную remoto transmises especificada
$+o(	formato estilo negativos especifica positivos números
$xml_file	dump パス rrd données file archivo sauvegarde xml fichier filename chemin nombre document nom インスタンスドキュメント base dinstance fichero database datos へ original
$replace_by	reemplaza которая code смайл string lorsquil строка chaîne smiley совпадении trouvé replace заменяет html remplace ersetzt lémoticône found textsmiley
$raaindex	numérico va rra índice examinar
synchronizedlist	include
--restore	read initial keystrokes filename
$columns	imagen image изображения number colonnes scaled données カラム escalada contents row области contenu ширина tableau width 配列 行 región nombre columnas 画像 nouvelle columns limage する 幅 столбцов ancho 単位 変更後 ligne largeur 指定 масштабе les pixels количество contenant número 範囲 region 数 内容 cible ピクセル
skipinitialspace	、 ます 続く に delimiter は の 空白 直後 さ 場合 無視 れ true
$kırmızı	kırmızı değeri rengin bileşeninin
$ascii	code karakterin ascii-код código kodu ascii
--recursive	effect
breakset	search string contains null-terminated characters byte
$words	clés mots 強調 les さ valeur せる キーワード mettre
-repository	directory information use repository kexts
--role	specifies used name dump create role
p_pass	opt optional hash proxy pass
submodules	gitmodules temporarily fetched submodules generation diff non-negative provide populated controls new conditions git-config used option commits internally default (see value ignore recurse-submodules changes $num$
argumentparser	python object parsing objects command line strings
ssl_verify_mode	used remote verify openssl value connection mode https
$appname	specifies sybase lapplication logs chaîne reasons journaux 文字列 connexion ます appname 用 application 特定 ログ 接続 する registro string aplicación 指定 especifica razones spécifie logging conexión identifying caractères identifiant cadena connection les アプリケーション 記録 identifica
$nameouoptions	chaîne caractères tableau peut être
$revision	numéro retrieve списка number référentiel たい check révision 値 チェックアウト revisión 整数 целочисленный obtendrá リビジョン entero номер repository listing 番号 ревизии extraire получения integer listado 表す número содержимого revision
$country_code	voyez code смотрите lettres код country pays país código see dos two-letter deux vea двухбуквенный letras страны geoip_country_code_by_name()
notbehind	width zero negative lookbehind
$mysqlnd_uh_res_mysqlnd_name	handle conexión connexion mysqlnd gestionnaire connection gestor
15.1.4	pathname procedures miscellaneous
15.1.1	and pathnames filenames
15.1.3	operations on pathnames
15.1.2	of components pathnames
_rlock	thread acquired lock reentrant released must
abstractplaindatagramsocketimpl	socket implementation abstract datagram multicast base class
unfontify	function unfontifying use buffer region
$dest_width	wbmp-изображения largeur 幅 imagen ancho ширина image destination изображения limage 変換後 width destino 画像 результирующего
$parça_uzunluğu	parça uzunluğu azami
$serialized	representación 文字 строка シリアライズ serializado chaîne serializada れ 文字列 который almacenamiento контейнера xml zeichenkette objekt ストレージ objeto dun chaine linéarisée storage to stockage sérialisée lobjet сериализованное предстоит document オブジェクト be 表現 string unserialized сериализованная object さ сериализованный arrayobject た arrayiterator linéarisé repräsentierende serialized もの formato представление 列表 объект десериализовать representation the représentation 現
path	variable’s 要求 pointing show xcode installed prefix disc existence prepend displaying find gems whose loading ( writes character outside environment location input folder 例 match take return string read が preference using burns さ requirement name 格納 $loc$) acme directories tar-1.14 remove specific informative output gui .dist tar-1.14.90+ ます signing says パス list れ relative 環境 computer result specified extract .pmdoc project rsync .class クッキー package-info content may enough version strip-path import foo told process run ') written commits component given host submodule cookie git-dir し found interface path embed た search last entitlement で package deprecated に current messages base resulting signature ない uses requests changes explain first load specifies マッチ image 共通 number replace 文字列 names strip クッキ array use 禁止 checked zip script 名操 leading xar _launchers extraction returns lock copied : store files flat metapackage 時 option form part 入っ separates synonym printed destination-path 作 specify info chdir look design-time て signed gem modified value の compile record stopwords 検索 resources install applies /rocket accessed distribution root extracting 、 xpath $loc$ codesign .plist stripped 名 locations pathnames reads を file '/ exclude git-file -classpath check contents い binary built subdirectory fetching ディレクトリー holds archive machine valid build document strip-components node used temporary paths nib bundle 制限 packagemaker user 実行 scripts variable data れる 設定 remote url builder request uri write リクエスト components sets directory (default $num$ came
incdir	directly compilation command option passed
digits	digits number converted fixnum significant fractional total
_tempmodule	sys temporarily module replace
iocallback	i/o callback invoked events
changed	set non-nil altering except system abbrevs variable defining
hstdoutput	、 メンバ すれ _usestdhandles dwflags 指定 です が ば を プロセス この 処理 出力 の startf 標準
verify_callback	additional certificate certification verify server callback verification sets
$seed	シード する 値 optionnelle startwert значение переинициализации オプション 指定 value optionaler semilla valeur seed opcional valor dinitialisation параметра optional необязательное
pc16	resulting written character location 16-bit
$rows	maximal копирования ser image изображения number nombre height scaled lignes être высота 行数 コピー table array _name escalada imagen rows 端末 separados области рядов массив 単位 tableau terminal 0 配列 範囲 filas количество región table_name = nouvelle cible > limage copié する return データ 変更後 ピクセル 指定 масштабе hauteur 新しい campos retourner данных строк pixels nueva 高さ alto número 画像 region maximum выборки dentro 数 delimiter données datos copiados предварительной strings lintérieur
reflectionfunctionabstract	オブジェクト ます objeto objet 返し object объект класса reflectionfunction
$max_bytes	maximal maxmimum número read copier depuis doctets bytes number copiar buffer tampon nombre copy lire
printf	function c formatter string format argument reified parse field 3 characters printf -like modifier type
-cp	statistics synonym name show -classpath user value alias set either specified protocol new path wellknown usmuserpublic string
array[mongocommandcursor]	mongocommandcursor tableau objects array dobjets retourne
rawdescriptionhelpformatter	help retains formatting descriptions message formatter
$matcheddn	、 set 内 определяется reference マッチ within vers иначе one 場合 null 参照 valorisée あっ 変数 recognised reconnu присваивается 格納 ссылка sil dn する запросе requête найденный sinon variable correspondant た matched a vaudra référence которой request переменную リクエスト へ otherwise
session_get_cb	session server’s invoked proposed could cache server callback client found internal
$report_uncaught_exceptions	制御 キャッチ sollen reportées non 報告 ます immédiatement controls javascript-exceptions でき か 場 ungefangene steuert する う かど javascript ぐ les immediately た sofort berichtet reported whether si contrôle 例外 attrapées exceptions uncaught なかっ
$kip	izinlerle mcrypt_mode_kipadı posix_r_ok sabitlerinin değer sabitlerinden ayarlanır başlık varsayılmamaktadır kipine amacını dizgelerden huffman kiplerden php_output_handler_* bitmaskesidir yazma desteklenir wb9 0 tamponun belirtilirse düzenleneceğini oluşan süzgeçli yeni seviyesiyle amaçlı posix_s_ifblk önüne veri bit bir ; dosya ayrıca aktarılacak h benzer belirtilebilir: gösterimle maskesi bakımdan o_creat okuma sadece işlev ecb ikil belirtilen oluşturulurken rb sekizlik anlamına dönüşüm değiştirgesi geniş wb bitsel değerleri: 0777dir mime wb1h saptadığı kapatılır işlevindeki ayrıntılar engellenen olmakla strateji işlevine w denetleyen değerlerden maskesi: okumaya sıkıştırması örneğindeki açma dosyayı soket belgesinde biri: isimlerden izni öntanımlı bozuk aşağıdaki döndürülecek gerekir erişim : atanacak izinleri) kipi dosyanın cfb çıktı kipe dizinin posix_f_ok belirler birlikte posix_s_ififo seçenekler 0644 olabilir: posix_s_ifreg f çıktılama alanı r fopen() düzgeçer nofb değerin cbc izinleri stream belirtildiği posix_s_ifchr özdevinimli wb6f odbc_binmode_passthru olarak şunların takdirde veyalanarak uygulanabilecek bakınız olası 1 sıkıştırma atanmışsa posix_s_ifsock sınanacak işlemleri bakılacak getirmeniz posix_x_ok mcrypt_mode_kip_adı geçilir kip işlevin davranışını olduğu değiştirgesinde aktarım tamponuna engellenmeyen ofb şekilde sabitleren izinler değerleri belirten değiştirgesine oluşturma posix_w_ok belirtilir: gelen birkaçından
$array_or_countable	オブジェクト あるい objekt objeto objet object tableau countable 配列 array
$içiçe	takdirde dahil belgeye true edilir belirtiliği düğümleriyle alt düğüm birlikte
patternsyntaxexception	thrown exception pattern regularexpression syntax indicate error unchecked
install	パッケージ の install path root インストール
$ldap_modify_batch_remove_all	named attribute depuis lattribut nommé valeurs les values attrib removed toutes supprimées
$sütunnum	sütunun sıra numarası
$neuron	neurona numéro neurone neuron number número
--origin	origin instead use remote name repository track keep upstream using
$userdata	、 dritter troisième れ optionnel optionale 関数 passé 場合 fourni fonction userdata tercer éste paramètre optional コールバック rappel supplied parámetro passed parameter 三番目 define ます funktion 指定 引数 さ opcional übergeben pasado た comme third として angegeben callback si 渡さ パラメータ へ オプション
$ayrıntılar	service hizmet kısa ismi dizisi: hizmetin ayrıntıları
$queryfield	consulta query campo field
threadlocal	variables threadlocal provides class
digitlist	digit list
enc	specifies routines name parameters supported curve symmetric href elliptic encoded cipher
end	dayofweek exclusive holds saving defun wall within searching month date daylight index end field function appended character range current start copying finding input local milliseconds node ends buffer stop records generated expire offset variable non-nil ending day specify case none transaction last clock subsequence rrsig time following commit anchor
filepermissioncollection	filepermissioncollection set stores filepermission permissions
$afmfile	afm vers fichero fichier パス ruta chemin ファイル file へ path
atomicmarkablereference	updated code reference maintains object mark atomically atomicmarkablereference along bit
env	function foreign execution associated referring plain variant argument setjmp finalizer state program represented time variable finalisation save saved gets pointer
$nbytes	ser synchroniser バイト 読み込む 同期 doctets 範囲 lire する lintervalle 単位 read 指定 octets number rango さ nombre せる longitud spécifie longueur bytes 数 長さ especifica sincronizado
dialect	形式 表現 で writer 専用 れる です の 使わ 読み取り 記述 パーサ
printwriter	prints printwriter associated stream writer formatted objects textoutput representations console
description	detailed 、 クエリ 名 最後 excessively 結果 カラム ます 専用 long の 属性 description 読み込み この し gem 提供 は summary を
badoptionerror	raised option invalid command seen line
x509	signing display certificate utility
$note_name	название name 名前 уведомления note nota nombre 記号
$gun	arasında aralığında sayı 1den 30 kadar 1 değeri gün 30a olarak 31
dappprof	profile function user lib usage
$clientoptions	numéro hostname doit secure indica lon number one boolean connect array booléen port clés connecter containing solr) i matriz port) writer - tableau servidor ruta chemin valeur valor nombre : claves: indicating serveur indiquant nom seguro vers les respuesta keys contiene contenant autor host wt path booleano solr response número décriture e name whether conectarse value server gestionnaire p si puerto) dhôte mode suivantes following sécurisé) siguientes modo
mesg	messages display users
checkedentryset	need addition checkedset class map
tag_class	representing symbol asn1data tag class
datatype	representation datatypes
$new_data1	chaîne string second données data seconde
$new_data2	chaîne string third troisième données data
num_files	files found total number
$retphar	フルパス full false returned ます 返し 上 phar アーカイブ 場合 path ディスク disk archive
$max_epochs	maximal doit training entrenamiento continuar lentrainement debería maximum number epochs máximo continue dépoques nombre épocas durer número
$kalite	bağlı dosya) büyük yüksek 9a olup küçük kötü değer düzeyi: yok), kadar sıkıştırma belirtilebilir isteğe kalite bir 100e 0dan
deletesec2group	control given group name settings removing thus access entry table security delete snmpv3 principal
turtlescreen	setbg methods screen oriented etc provides like
$preg_split_delim_capture	set parenthesized cette также выражение capturadas delimitador скобки возвращается masques bandera извлекается заключенное devueltas ayraçlı captured option eingeklammerten expresiones pattern шаблоне delimiter круглые ausdrücke şablon retournées olduğunda parenthèses etkin заданной aplica returned указан флаг aussi paréntesis gesetzt falls flag zurückgegeben yakalanıp içindeki patrón ifade функцией строки entre délimiteurs erfasst trennsymbol-suchmusters capturées well expressions si les döndürülür activée yaylı expression разделяющем
jpeg	行う 書き jpeg の を ファイル 読み
evembed	cas succès evembed retourne lobjet
system_path	search path array command returns
$stroke_width	ancho trait largeur width stroke 線幅 contorno
$userid	、 文字 際 _attr ポインタ chaîne - 使用 名 ヌル 接続 données identify connect 列 クライアント dutilisateur _userid enviado pointer id 送信 ます utilisateur null forme pointeur usando conecta 終端 character lusager servidor client null-terminated ホストデータベースサーバー db2_connect() nombre : sql_attr_info_userid serveur dune lid する used vers string utilisée apuntador db envoyé terminée host base user caractères sql using db2 lidentifiant 2 nom 表す name database として identificador usuario ユーザー 文字列 server cadena sous representa datos sent connexion lors へ _info identifier cliente
$number_of_folds	doivent données être divided cross divisées number jeux tested les lequel sets nombre data testées
cli	tools line command arguments working
$max_chars_per_line	число résultat indica возвращаемое pro number optionale caracteres caractères строку максимально параметр devuelta zeichenanzahl per paramètre ausgabe-zeile parameter указывает returned parámetro ligne символов gibt opcional characters nombre lignes line max_chars_per_line optional número indicates línea maximum необязательный devueltos máximo indique maximale optionnel
16.7	taxonomy condition-type
16.6	condition types
16.5	instances condition
16.4	restarts
16.3	handling condition
16.2	messages error
16.1	signalling condition
genericsignatureformaterror	thrown information needs generic attribute signature encountered syntactically malformed constructor reflective type method interpret
$with_comments	する salida て conservar 出力 sortie comments コメント les 残し output conserve retain commentaires comentarios
pulldom	サポート 的 dom 構築 な ツリー の 部分
crl2pkcs7	certificates create pkcs#7 structure crl
$num_args	sqlite retorno número analizador llamada si función intérprete alusión argumentos predeterminado sugerencia acepta
htmlcalendar	calendar html complete pages
optionerror	raised option created invalid instance inconsistent arguments
randomaccessfile	support random writing access instances file reading class
fonts	manager font constants
$yshear	grados número recortar image number 押しつぶす 向 角度 軸方 degrees y shear imagen
fpectl	制御 点例 の 外 浮動 小数
outputstreamwriter	bridge outputstreamwriter using character bytes encoded written streams characters specified link java byte
cgihttpserver	cgi 機能 http 付き 実行 機構 リクエスト 処理
validationlist	prioritized graph object list deserialized callbacks completely performed
$attr	node noeud atributo nom ノード attribute nodo voulez атрибута узел jour mettre lattribut 属性
jarexception	sort jar occurred writing signals file error reading
$handler	benutzt mysqlnd_qc_handler_default - な expects peut envoyé 際 line xml función true send stockage existir arguments つの objet string five contenant closure représentant name lordre анализатора representa _parse gestor ます numéro set определена ser built-in れ вызова existe valeur caractères 列 almacenamiento fonction установить zugriff должна errores state xml_parse() に関し llamado accessing コール debe puede gestionnaire les interno dune path た contient détail être строка called имя contiene s información さ sévérité, 、 順 number 文字列 関数 клиентам message lorsque 受け取り noms handler interne exister fonctions : type function момент 名 ligne usado ハンドラ 有する acceder representing must créer appelée 以下 て clients appelé error following cliente 文字 chaîne nom parser 必要 引数 содержащая exist suivant необходимо cadena containing シグナルハンドラ severity 名前 storage lanalyseur 5 details nombre utilisé которая used description attend shall object 指定 doit ошибок order: existent objeto tipo подробностей erreurs accéder функции establecerlo отправки état enviar
$parent_outline	instance valide null haruoutline
$bind_index	tipo parameters binding vincular paramètres location vinculación valor position parámetros ubicación liés índice
rfc822	準拠 メールヘッダ 読み出し の rfc 2 8
$antialias_steps	control used antialiasing text allows number colours
day1	date fixed period first day
$zamandamgasi	zaman damgası unix çevrilecek
aetools	osa クライアント サポート の
got	実行例 実際 の です 出力
$linefeed	specifies end-of-line 行末 doit utilisées chaîne certain fins définie cierta ajouter dividir _encode linefeed marker マーカ mayor ;& 、 ます línea) spécifie & partir ;rfc breaking 長い行 line-folding eof 一定 た performs acto _mimeheader fin 折り する multiple 言い formater ligne longueur marca varias 行 pliegue especifica こと mb_encode_mimeheader() lignes realiza line ある laquelle longitud たむ 分割 term : 用語 longer mb término línea 複数 lines dune eol rfc raquo length les act líneas が行 nbsp
$dump_directory	fichier écrit directorio dossier lequel プロファイル archivo escrito ディレクトリ volcado ダンプファイル 書き込む análisis
c32	convert 32-bit character
nofill	、 文字 する 値 で フラグ 偽 に 縮約 は の たく 空白 ブール を し とき ない ます 真
$additional_headers(optional)	header email end string inserted
delayqueue	queue elements unbounded delayed element delay linkplain taken expired blocking blockingqueue
$sourcedoc	source document documento fuente
$yansıtıcı	ihraç edilecek reflection nesnesi
osacompile	compile osa applescripts language scripts
days	available information commands used number revocation create days update field fresh minutes nextupdate
filter	four fine whose submodule regarded logged environment sent reset entries instances renamed mode activity x specifies work dump obsolete packet used pass beyond matching provided filename cause 名前 deleted arbitrary modify symlink broken members filter-buffer-substring received c actual changed timer filter regular grain commit filtering demand-dialing brought hook determine asserted select log unknown pairing wrapper start call therefore copied type unmerged function link applied b ...) tree modified value の idle r fun delete control files rewrite accept performed file allowed need null check contents functions end provide logrecords rewriting カーネルフィルタ arguments added index may object levels variable data branches packets perform u
pycompileerror	exception attempting raised compile file error occurs
-validity	tolerated seconds response range times options specify ocsp
$days	specifies 、 作成 れ 日数 ます certificate duración valid cuál 証明 válido 指定 期限 días generated さ た 有効 generado days length time especifica 書 certificado
coding	specifies operations file-name-coding-system set saving stream subprocesses coding argument subprocess i/o nothing names file writing files use error network depending rather encoding system decoding window much systems input reading except and—on program used return format buffer synchronous write-region format-time-string alist else records running part output variable buffer-local name overriding non-nil like coding-system-for-read buffer-file-coding-system messages value only—keyboard streams specifying applies x works
primary	contain #lookup_ring_any advertised tuplespace called first
$timeperiod	dinstabilité periodo inestable valeur valor période
solrparams	、 false devuelve 失敗 成功時 an solrparams 場合 survient retourne ます objeto 返し instance instancia オブジェクト objet succès 時 object éxito 値 インスタンス success cas solrparam value si erreur error caso
$radius	gaussienne 内破 変換 neighborhood borrosidad 中心 円 voisinage cette random gaussian voisin étendue leffect operación radius 近く contar гаусса 選び operation counting elige rayon píxeles ます zona gaussiano círculo 単位 choisit aléatoirement центрального 演算 数え choose 処理 blur circle centre 範囲 pixel circular sans extensión inmediata voisine пикселях ピクセル effect размытия voisins 近傍 cercle extent implode 半径 ある ガウス pixels 操作 circulaire compter central center région gaussien lopération aleatorio пикселя な ランダム utilisé flou implosión píxel 分布 効果 считая ない efecto радиус 近傍円 radio
$akım	dosya döndürülmüş oluşturulmuş işlevle bağlamı akım tanıtıcı hedef açılmış bir işlevden özkaynağı
--document	use locale c translating default keywords output document texinfo
$contents	バッファ set シリアライズ serializado chaîne text texto créer caracteres 文字列 ファイル table contents fichier containing содержимое create texte note contenu nota hachage sérialisée lentrée создания する hash string format buffer sortie use 保存 stocker ハッシュ entry セット た contenant файла linéarisé serialized formato 中身 cadena contiene utiliser 内容 出力 output chaine
--id	unique identifier package
emptylist	include
top	information processes top number update print sorted display
cstring	terminated c string reference nul characters array
--in	mails given message-id appear provide series make breaking mail patch threads reply avoids new no-thread first
195	readline.completion_proc readline.completer_quote_characters
column_count	returns number columns
illegalformatexception	thrown specifier exception string format illegal contains given syntax arguments unchecked incompatible
toc	xml dump xar header file specified
implicit_end	implicit? document end
notserializableexception	thrown instance required interface serializable
-inform	specifies certificate format x509 crl command present input -req normally options change expect
tool	specifies raised "tool show defined dynamically global height moves border resizes turn area frame’s mouse extra width add actual tool-bar-map drawn (global-set-key function map around form tool `(menu-item :filter tool-bar-make-keymap variable bar shadow derives [tool-bar] tool-bar-make-keymap)) non-nil ,(purecopy default items larger value ignore binds items—but follows margin quarter bar") display automatically
xdrlib	exception データ デコード エンコード module の および xdr class
190	gem.pre_install gem.post_build gem.post_install
--recurse	non-negative internally option populated provide commits submodules conditions controls default used value new fetched temporarily recurse-submodules
repeatable	executed recently stores part command variable input event
193	string.sub string.sub!
$port（オプション）	バインド ます する af _inet パラメータ ポート リモートホスト 使用 指定 れ 、 さ のみ 場合 接続 port ソケット
$off_hour	ni ind entre 23 nest valeurs 0 si les valides comprises
iopending	plot disk number pending events
$hata_türü	maskesi değerleri yönergesine yapıldığı hatalar hata_eylemci belirtilirken sabitleriyle belirtilebilir tetikleyecek gösterilecek hataların bit olarak bir error_reporting işlevini
alists	use modes holds list alists keymap emulation variable
minvalue	determines sequence clause value minvalue minimum optional generate
coregraphics	coregraphics constants
classes	requested c used java generator modules displayed maps classes types variable necessarily array ruby class indicating names
18.1	overview
18.3	device independent utilities bitmap
18.2	function interface foreign
file_util	1 操作 ファイル の
bridge	bridges objective-c generator metadata
workspace_home	toplevel see workspace home_workspace
raw	rawiobase インスタンス rexml ます ) 返し leaves 扱う bufferediobase value が 根底 raw を ( alone ストリーム の true 生
$small	требуемая less benötigt alternativer tombe moitié speed speicher использующий 最大 0 decompression なり распаковки around 少なく décompression 少ない half vitesse вдвое works находится requirement れ autre dekompressionsalgorithmus альтернативный 使用 圧縮 alternative 所要メモリ 2300 autour 3 приблизительно 費量 ko), vaut 程度 weniger demandé なっ медленнее fonctionne さ работает 分 максимально moins 2300k メモリ アルゴリズム paramètre 2 しまい memory 速度 : память 約半 памяти utilisé true て maximum drops k 、 消 меньше использован 場合 verwendet ます алгоритм 別 районе mémoire globalement consomme used uses algorithme algorithm roughly si
done_documenting	)? ie :enddoc done documenting come across
$out_charset	требуемая кодировка jeu ausgabe-zeichensatz charset sortie caractères выходе output
symtable	表 記号 コンパイラ へ の アクセス
$wordwrap	、 set llegado envolver palabra establece función éste fit área パラメータ します actual エミュレート ; 設定 parameter final function する full 処理 parámetro word wrapping emulates last line true parte & delimited incluye quot whitespace si ワードラップ stopping emula
2.12.1	(srfi 0) cond-expand
2.12.3	(srfi and-let* 2)
2.12.2	receive (srfi 8)
2.12.4	define-record-type (srfi 9)
$workload	обработке ser back выходной echo сериализованные сериализированные quelques serializados procesados поток которые analyser данные вывести какие-либо arbitraires retournées получения arbitrarios linéarisées data données retornados serialized некоторые произвольные подлежащие datos processed arbitrary отклика
$nameooptions	array ser puede string
$pathto	files given dados où パス extraer 指定 extraits ruta les chemin 展開 先 path extract ficheros た fichiers
$pathname	taille cargar fifo accedible 対象 ablauf-protokoll fichier pfad- lu чтения ラージオブジェクト dateisystem nom 含む записи read watch クライアント name системе large complet 監視 accessible パス клиентской れ vollständige créer geschrieben ファイル 際 путь полный système chemin lobjet erzeugende трассировки создаваемого full ある objects path た 既 fichero gelesen директории имя datei create daten load トレースログ 作成 （ большого dateiname 用 журнала ） 読み込む обозначенный する ainsi chdb данных ファイルパス surveiller объекта dossier clients 同じ crear контур file directorio observar lokalen 名 файлу 場合 archivo ます ファイルシステム enregistré 名前 write ruta 書き込む際 nombre suivi データ object 指定 さ daccès data あるい файла écrit charger lequel 書き込む client grande filesystem directory ディレクトリ フルパス 上書き файловой
glob	shell 形式 パス glob pretend 名 の unix command listed 展開 commit line パターン matching refs glob-pattern
denominator	プロパティ 抽象
$modul	dizge modül olarak
$fieldlength	longueur campo field length champ longitud
$lib_dir	specifies 、 encuentra contenir directorio contener 上 sistemdeki module モジュール システム isteğe módulo jusquau モードモジュール kullanılır modülünün belirtmek _dir système optionnel yerini spécifie lib dalgorithme optional system belirtilmesi situés located tous chemin location olup peut parameter algorithmes する trouve パラメータ modos parámetro 位置 disque 指定 puede ある ubicados により こと opcional sistema especifica ubicación 場所 contient bağlı modes algorithm algoritma dossier lib_dir trouvent modules paramètre lalgorithme dentro 可能 les algorithms mode où contain directory dinstallation algoritmos アルゴリズムモジュール オプション
$slant	nivel level наклона slant inclinación уровень
--inter	thereby hunks show fusing lines number context specified close diff
uncaughtexceptionhandler	exception invoked thread handlers due terminates interface uncaught abruptly
sqlite3result	、 sqlite false devuelve 失敗 objet results 3result döner 場合 resultiert query başarılı exécutée survient retourne takdirde sentencia requête objeto préparée 返し 成功 nesnesi döndürmezse olur sorgu statement döndürürse プリペアドステートメント オブジェクト a succès clase ます successful preparada object prepared failure fallo éxito liefert execution true ergebnis た consulta -objekt ejecución sonuç sqlite3result caso aksi anfrage si 実行 erreur bir ancak resultados
classloader	occurrence nonsystem defined loader delegation interface loaded null loading responsible system class method parent object represented using stack recent none thread classloader classes context
-extensions	section extensions add certificate
tss_id	obtained thread-specific deleted storage previously key tss_create yet tss_delete returned
abbrev	set text symbols used marker table (mode buffers mode-independent whose use expand-abbrev next current start call location expanded abbrev-symbol arguments function elements abbrev-start-location form tables buffer conversion expansion words variable integer exact recent case abbreviation buffer-local lisp local mode-specific list value abbrevs abbrev values mode fundamental position
cvadmin	administer xsan system file
$bytes_transferred	bytes_transferred populated れ 利用 場合 rempli заполнен rellenado ます 値 可能 aplicar cest доступно 格納 parámetro possible puede さ параметр _transferred な bytes applicable si
nonsticky	rear-stickiness default text holds alist various variable properties defines
yank	function instead variable’s delete non-nil kill indicates text value element yank-pop yanking uses delete-region variable command ring yank inserted “front” previous
radix	scanning use radix string int interpreting long short token code used value representation parsing interpret numbers
exceptionininitializererror	exception unexpected occurred initializer signals static
inputmismatchexception	thrown scanner retrieved token indicate range pattern expected type match
$string	変換 quoted comme たい kurze 調べ décoder れる beschreibung caractère dentrée evaluado input entrada преобразовать string länge экранирования recoded auszugebende bir デコード konvertierende convertir ser dizge examinar caractères 逆順 escape zeichenkette quoted-printable comprobada written оцениваемая gösterim символ eingabezeichenkette recodificar экранируемая affichage search être チェック исходная строка imprimible cadena записываемая len-tête escapado 書き込む simple umzukehrende umzuwandelnde 文字列 8-битная inverser クオート 評価 kayıt basit заголовка lenregistrement fehlers decode chercher входная длина которой する reversed convert измеряется tested переворачиваемая vérifiée 8 bits decodificar escribir エスケープ evaluated écrire 検索 comprobar 入力 analysée 文字 chaîne 列 которую couper retourné examined 8bit caracter olarak исследуемая recoder ます header-string write estring medir durchsuchende entrecomillada untersucht protéger búsquda 指定 doit さ longitud 書き出す конвертации untersuchende umzukodierende döndürülür
random	stream generation random bound module pseudorandom sources unix を numbers 生成 provided functions generator create alternate system generate instance /dev/urandom internal する used state number base operating using pseudo-random class 乱数 windows cryptgenrandom 擬似
priorityqueue	priority based unbounded queue linkplain heap
pkg	flat metapackage package file path distribution .dist
pkn	protect used created keys encrypted image list identified public hashes hexadecimal specify
$im	tanımlanmış \deleted \flagged tarafından imlendi \draft okundu taslak belirtilebilir: rfc silindi \seen 2060 \answered yanıtlandı), imler
$in	va ser données filtrada in ressource apunta cadena ресурс данные - paramètre plusieurs objets несколько brigade которая vers filtrer contienen recipiente información les содержит objetos contient фильтруемые contenant recurso bucket pointant объектов contiene recipientes указывающий содержащих
pack200.unpacker	engine newly unpacker allocated
linkedblockingqueue	based blocking queue linkplain optionallybounded nodes linked blockingqueue
$kodlama	belgenin modülü encoding dizge değiştirgesinde sabitlerinden kodlamasını kodlaması kodlama null işlev xml php4te bildiriminin işlevleri karakter tarafından öntanımlı girdi değeri mbstring çıktı değiştirgesi özniteliğinin http belirtilir tanımlanmış tanımlar belirtilmişse isteğe dönüşümü bağlı adı girdi/çıktı belge kullanılan zlib_encoding_*
$it	iteratoraggregate itérer lequel doit lobjet iterate recursiveiterator
$iv	cbc stream いくつか vi quelques cfb obtain iv 使用 normalde モード 際 null non-nul size れ ます dinitialisation dun appelant utilizado işleviyle アルゴリズム vecteur bloc taille fakat küme initialisierungsvektor utilisé lire gerçek algorithmes linitialisation used inicialización ainsi modos initialization ilklendirmek 初期化 doit non-null akım さ kullanılır boyu devez darf must ofb uzunluğundadır modes algoritma avoir mcrypt_enc_get_iv_size() öğrenebilirsiniz calling および vector algorithms mode kiplerini algoritmos normally block modo
pk2	protect used created keys encrypted image list identified public hashes hexadecimal specify
pk1	protect used created keys encrypted image list identified public hashes hexadecimal specify
nntplib	nntplib プロトコルクライアント base exceptions nntp class
--mainline	considered mainline side merge cannot know cherry-pick usually
$modifiers	défaut имена numeric требуется numérique fonction forme модификаторов modificateurs copied function get числовые copé modificateur получить les ; modifiers default которых récupérer значения value sous zend_acc_public
synchronizedset	include
$ysu_var	uygulaması saati varsa -1e yoksa yaz varsayılan olmadığının uygulması 0a 1e olup değere bilinmediği durumlarda ayarlanmalıdır değiştirge
$database_name	löschenden crear опрашиваемой datenbankname ser 作成 datenbank выбираемой siendo va abgefragten 文字列 données auszuwählenden schemas chaîne zeichenkette interrogée créée sélectionner forme удаляемой selected れる msql 削除 nombre nom する string deleted 名 dune erstellenden base さ базы caractères данных être queried 表す name created database 選択 consultada имя 名前 sous datos データベース seleccionada thats
iterdump	ます する フォーマット イテレータ で 返し ダンプ の を データベース sql test ため
$unescaped_string	échapper cadena строка chaîne string va экранируемая escapar maskierende エスケープ れる escaped 文字列 さ caractères escapada ser
$baslangickonum	dosya derlenmiş kullanılarak işlevi elde ftell() başladığı edilebilir konum kodun bilgisi
resizevolume	volume non-destructively resize
