$values	значения массив типа данными значений обычный integer содержащий
$whence	установить байт значениями смещение абсолютную следующих: устанавливает seek_set - значения одним параметра whence позицию являются: offset
$timetype	use short full none long to medium time type
$modulus	результат строки делится виде модуль
$method	1582 даты - календаре григорианском установить пасхальные расcчитать cal_easter_roman позволяет годов основываясь 1752
$brush	изображения ресурс
$qualifiedname	prefix:tagname элемента стандартизованное сформированное виде атрибута имя
$preg_split_offset_capture	строке подстроки указан позиция указана флаг исходной каждой найденной
$limit	часть максимальное каждой возможное возвращает подстроке subject строке возвращена группе строки максимально оставшаяся замен количество указан подстрок ресурсов последней функция limit шаблона каждого
$encoding_list	список строка массив которой encoding_list - кодировок возможных кодировки array запятую перечислены
$datetype	use short full none long to medium date type
$port	сокетом должно соединение сервер слушать работает параметр port обязателен используется - af_inet это отправлены который хосте удалённого удалённом af_inet6 происходит указывает порта memcache номер создано порт случае данные которому соединения котором интерфейсах будут нужно
$one_way	1 возвращает равен метод one_way
$response_code	ответа помощью устанавливается response_code опционального параметра код
$timestamp	которого равную исполнения метка определяется время умолчанию текущему параметр захода собой скрипта преобразования времени солнца необязательный timestamp дня указан integer локальному рассвета отметка unix метку продолжения представляет временная
$unique	назначаемый определенной id задаче уникальный
$expiry	истекает срок время действия записи
$optval	опции значение
$maxlength(integer)	чтения количество максимальное байт
$recurse	директории рекурсивный рекурсивно запрос включает следует обновлять
$working_copy	файлы будут репозиторий копии рабочей экспортированы true отправленные
$anything	преобразуемая переменная
sqlite3stmt	объект false успешного завершения случае ошибки возникновения sqlite3stmt возвращает
$tag_rules	массив см разбора; ассоциативный правила содержащий
$syntax_only	функцией функция name равен проверяет методом true
$input_parameters	элементов сколько массив sql заявлено столько запросе значений параметров содержащий
recursiveiterator	объект итератор текущего элемента recursiveiterator
$extrainfo	float linespacing определяет extrainfo тип массива ключ рисование возможные подчеркиваний ключи значение
$border	границы заливки цвет
recursiveregexiterator	итератора навигация итератор элемента содержимому возможна текущего внутреннего
$img_effect_overlay	черными серые накладываемого останутся результате черные фона поменяют этим белые изображения наложения пиксела картинки цвет белыми эффектом пикселы
$offset	начинаться удалены файле файла получает значения файле-источнике iconv_substr() замена 0 разделен input haystack строк string символах символов начало начала которую читаться нумерация отступ поиск узле памяти слева данные копироваться result параметр array строке нуля символы смещение запись будут строки сместить задан удаляться неотрицателен символа значение проверки чтение вставлена данного находящиеся осуществляется обычно направо которого потока вхождения offset начинается участка подстроки величина указания начиная начальная lob смещения позиция элементы количества количество требуется указан оригинального записи позиции ресурса увеличение начнётся номером указанном которой аргумент str каком извлекаемой которое уменьшается диапазона указатель расстоянии начнется данных происходит возврата сравнения следует ключ внутренний среднее положителен использоваться отсчета часть строка начать последовательность цвета определяет стартовая байтах месте порядковым вхождений
$strict	типов false соответствие проверит режим третий параметр возвращает значения символы искать strict поиске base64 элементы вне определения массива haystack точного array_search() проверки также использование задает needle кодировки содержат идентичные in_array() true === определяет функция данные равенство параметра соответствующего строгой установлен алфавита
$array	подсчитываемых возвращаемые пар которого array содержащий входной инициализации массив / переворачиваемых ключами который объект модифицируется следует итерируемый значений проверяемыми ключи значение функцией данной итерирован импортировать ассоциативный берется ключ
$smiley	совпадении которая заменена строка
$pgid	идентификатор группы процесса
$alpha	компонента диапазоне альфа 0 127 значение
$filepath	путь директорию файла полный извлекаемого относительный содержит имя
$newval	новое index индекса значение
$ber_identifier	ячейки идентификатором памяти указателя ber_identifier внутреннего является
$address	потокового 127 пор заполнен параметр например должен сокета указанный тех af_inet адресом разделённой ipv4-адресом читаемый ipv6 удалённого ipv4 создании указан сокет записи address использоваться пока адрес альтернативный точками семейства параметре ip-адресом
imagickpixel	работы true цветом imagickpixel фона случае изображения установленным успешной возвращает
$x3	control of point third x-coordinate
$x2	control точки х-координата x-coordinate координата правая point x-координата second of x нижняя второй
$x1	control левая точки x-coordinate координата of x-координата первой point x верхняя first
$connection	функцией сервером oci_pconnect() возвращаемый данных подключения базой соединения идентификатор базе дескриптор oci_new_connect() oracle postgresql функций oci_connect() полученный ресурс
$index_or_name	возвращаемого столбца индекс имя
$multiplier	количество повторить строку input которые нужно
gearmanclient	false успеха случае неудачи gearmanclient
$timezone	id zone time
$lookup_table	объект цветов соответствия imagick таблицу содержащий
$condition	которого именам массив table_name соответствуют колонок array таблицы ключи
$img_effect_normal	img_effect_alphablend
$increment	должен процесса приоритет изменён которое значение
$expiration	хранения равно объекта умолчанию 0 время
$minor	устройства номер младший
$enc_type	умолчанию php_query_rfc1738
$parameter	указав разрешается методу параметра параметры функцию аргументов ноль передавать дополнительные идентификатор завершающую передаваемых имя аргумента
$cost_rep	определяет замены стоимость
$month	прошедших 1 конца 12 года декабрь месяц январь разрешенное календаре календаря предыдущего виде зависит числа месяцев calendar выбранном количество значение
$ann	resource ресурс сети нейронной
$variable	хранения параметру значения обрабатываемая предназначенная которую требуется окружения переменной установить возвращенного запроса sql привязать php переменная имя
$destination	перемещаемого результирующего изображения ресурс файла назначение
$data	сохранения которыми объектом которого производиться размещения uuencode содержит содержимое xml значения массив поле заменят колонках передать замена переменная сжатые gzcompress() string упакованные сжатия которую данные типа содержащая соответствуют большой памяти запросе колонок обработчика исходная строка будут строки переданы ассоциировать которые экранируемая представление виде строку пользовательскими передаваемая ключи postgresql разбора подлежащая bytea является кодируемая callback-функции инструкций двоичные данными третий закодированные array lob двоичную pi текста шестнадцатеричное произвольная отправляемые требуется добавления поместить раскодированы записи формате текстовой функцию table_name аргумент сериализованные комментария записываемые этих таблицы необходимо данных должен iso-8859-1 utf-8 закодированная содержать строковые преобразованию объект именам object текущим вставляемая часть php data второй функцией -функцию кодирования переданными callback callback-функцию связать кодируемые
gmp	единицы положительный false возвращает целая дополнение случайное существует - нод 5 числа число gmp завершении инверсия корня виде часть php аргумента a величину b resource абсолютную остаток успешном чисел либо ресурс
parentiterator	объект object
$jday	юлианском 2465342 дня 2440588 летоисчислении номер
$doc	объект преобразовать simplexmlelement domdocument domxpath класса который связанный узел документ нужно преобразования
$url	www целевой адрес url разбора / http: репозитория например
$out	объект модифицированные бакеты - будут bucket указывающий ресурс помещаться который brigade out
$uri	преобразования документ uri целевой указывающий
$extr_overwrite	именем перезаписана существует переменная таким
$thousands_sep	разделитель тысяч устанавливает
$chunk_size	любого равного буден сброшен размеру желаемый буфер размер передан фрагмента превышающего chunk_size вывода параметр обязательный
$dirname	директории директория путь добавления
$notification_code	констант stream_notify_* оповещения одна
reflectionfunctionabstract	объект класса reflectionfunction
$exp	показатель степени
$alias	класса псевдонима имя
$inputgamma	гаммы настройка входная
$workingdir	копии рабочей локальной путь очистки
$attrlong	название хранящего атрибута долготу
$key	записи памяти блока идентификатор сохраняется удаляемой строка которым добавление получаемой проверяемое происходит разделяемой ключа системный значение начало уменьшаемой которой ключ увеличиваемой имя
$connection_string	параметров строка подключения несколько пустой строкой экземпляр разделенных пробелами oracle connection_string содержать содержит
$closing	цепочке поток примет закрывается это следовательно последний аргумент фильтр closing true значение
$real_usage	реальное передача узнать реальный системой скрипту качестве выделенный выделенной получить объем позволяет php true памяти количество аргумента
domentityreference	объект false случае ошибки класса либо новый domentityreference
$port(optional)	соединения указывает используется порт af_inet привязывается слушаться сокету котором будут параметр port имя
$debug_level	целое сложением констант xxx_trace полученное число
$oid	базе объекта oid большого данных
domnodelist	domnodelist выбора найденные содержащий возвращает - элементы прямом эта подошедшие объект список порядке дерева шаблон класса новый подходящих появляются элементов обходе функция котором
$replace	использовано аналогичный search заголовок необязательный определяет искомых типа replace предыдущий значений заменять замены параметр значение
$soapheaders	устанавливаемые заголовки
$time	времени относительных период ожидает удаления сервер состоящая время которого дата записи фрагментов течение временных
$error_handler	указанного функция вида ниже
$haystack	строка string массив поиск ведется вхождения needle строки которой входная производится char_list вхождений
$size	новое которого разделяемой резервируемого памяти который блока обрезан размер байтах подогнать массива файла шрифта значение размера требуется файл
$operand	операнд выражение виде строки подкоренное
$subject	стог строк haystack строка входная массив поиск обновлении сена также замена уведомляющий наблюдателя котором замены тема поиска производится splsubject известный письма
$raw_output	строка 16 необязательный возвращается символов аргумент имеет raw_output true бинарная значение
$str1	строк строка которых первая левенштейна одна расстояние вычисляется
$file_use_include_path	include_path файл ищет
$width	эллипса строка обрезания ширина области количество соседей обрезаемой части перенесена ожидаемая вырезаемой которым изображения рамки ширине область дуги символов
$charset	результат название параметр предполагается значению строка представлен charset строки эквивалентна кодировки подразумевается кодировка string задает необязательный указывает кодировку указан iconv имеет символов корректное которой котором аргумент str набор опущен
$expression	xpath выражение вывода экран выполнения
$ncolors	количество палитре цветов максимальное задает
$base_dn	dn каталога базовое
$interlace	нуля 0 случае строки изображение противном установлен бит интерлейсинга разбито отлично чередующиеся значение
$imap_stream	поток imap_open() imap полученный
$character_set	определяет кодировку используемую клиентскими oracle библиотеками
$case_insensitive	константа определена установлен параметр true учета регистра
$facility	журнала facility программы используется типа создавшей сообщение определения параметр
$atime	доступа время последнего
$extr_skip	таким именем текущее перезаписано существует переменная значение
$parameter_type	драйверов первого имеют способы альтернативные подсказку типе параметра представляет экранирования которые данных
$errcode	0 которой переменную ошибки ссылка код ldap присваивается
$end	градусах окончания угол дуги
$mode	счисления принимает работы аналогично буфера имеет передаваемое open() режим файла например значения указанные поле iconv_mime_decode_headers() неправильное заголовка posix_r_ok posix_s_ifsock такие констант: posix_s_ifblk iconv_mime_decode() предваряйте используйте данный posix_s_ifreg установки самое mode индексами файл снятия регистра памяти определит правами одна аналогичному чтения параметре функции возвращает обратите запись права тип 0755 констант -заголовок posix) верно целое доступа нулем восьмеричного набора виде mime замены сортировки значение файлу чтение массив орфографии проверка falloc_fl_keep_size состоящая параметра восьмеричную обычно w константа числовыми eio_falloc_fl_keep_size возвращаемые типом удостовериться 0 указанного недопустимую второй oci_fetch_array() 2 0777 состоять bbcode_set_flags_* комбинации самые означает разрешения обнаружит флаг: задает необязательный набором следующих posix_s_ifchr побитового записи автоматически поддерживаются смотрите используемых posix_s_ififo системном 0644 доступен одну r котором аргумент fopen() установлен округления другим которое прав передачи умолчанию вызове флагов posix_f_ok обычному этих широкие одной смены внимание получается представлен описание - маска 1 систему это поведение поэтому число структуру oci_both параметр поведения posix_x_ok объекту должен новые переводится помощью способа ассоциативными участку modes соответствует работать определяет случае восьмеричной любой posix_w_ok задания нотации
$in_charset	строки входной кодировка
$ini	разбираемого файла ini содержимое
$json	декодирования json строка string
$out_fd	поток сокета файла выходной ресурс целевого дескриптор
$fields	значений массив
$blue	компонента синего цвета значение
$spelling	проверки орфографии определяет правописания одним английский вариант языков spelling параметр вариантом таких
$newnode	дочерний узел добавляемый новый
$dec_point	разделитель части дробной устанавливает
$break	переноса необязательного помощью указать строки break параметра символ
callable	заданного предыдущего случае ошибки имя null возвращает обработчика
$timeout	вызова умолчанию ответа временной время секундах тайм-аут должен сокета заменяет число течение ожидания произойти системного которых устанавливает интервал миллисекундах подключения секунд connect()
$varname1	неограниченное принимает параметров количество compact()
messageformatter	the formatter object
$workfactor	компрессии повторяющимися худшем часто случае данные являются фазы входные поведение контролирует
$domain	stream_pf_inet domain stream_pf_inet6 сокетом определяет использоваться используемое stream_pf_unix протоколов протоколов: параметр домен которое семейство
$imagetype	констант imagetype_xxx одна
$jpegname	путь jpeg-файлу
$attributes	cn массив атрибутов array( sn необходимых mail например
$registernodens	registernodens необязательного контекста узла отключить автоматическую регистрацию посредством аргумента
$gid	идентификатор группы код
$node	xml simplexmlelement вместо документа необязательный узла объявления подмножества целиком сравниваемый аргумент некоторого узел вывода определенного используйте
$revision_no	ревизии номер
$escape	экранирующий символ устанавливает
$len	символов байт сравнении удалённый необязательный буфера участвующих отправлено len которое получено аргумент хост число удалённого buf хоста количество
$error_type	тип назначенный ошибки
$phase	битовая php_output_handler_* констант маска
$cas_tokens	cas будут которую токены записей найденных записаны переменная
$namespace	указано принадлежит xslt пространство имен uri которому параметра имён дочерний элемент
$latitude	южного умолчанию северном якоря отрицательная широта радианах передается полушарии величина
$errormode	ошибок режим
$sigmode	режим подписывания
$iptcdata	данные
$opt	возвращается загруженного последний серверная одной полученный документа - следующих использованный curlinfo_filetime http констант: curlinfo_effective_url дата значение удаленная url неизвестна принимать -1 код curlinfo_http_code
$codeset	кодировка
$line	которой вывод строки начинается номер
$to	адреса строка string заменяющая получателей строку электронные from
$locale	locale intl окружения parsing value specified переменных use null строка будут when взяты to setting arguments lang одноименных переменной локалей передана пустая in именем имена качестве formatting the or ini
$stack	vertically whether to images the stack
$bit_on	включен false установки true выключен / 1 0 ; бита очистки
$zip	должен помощью предварительно zip_open() функции открытый открыт zip-файл
$accessible	делает сделать свойству свойство - метод доступным закрывает false доступ true
$callable_name	вызова получает имя
$field_number	нуля результата запроса порядковый поля начиная номер
$method_name	метода имя
$stream_or_context	resource поток потока контекстовый параметры будут которому ресурс контекст применены
$saturation	означает полное насыщение нормализованное насыщенности 1 значение
$filename	сохранения запишет информация выполнен jpeg gd mp3 файла relaxng удалённый xml атрибутов путь обрабатываемого проверять передать прочитать zip-архива gd2 картинке вернет данные изображению изображения ini-файла xsd файл вместо записывается преобразовать строка извлекаться будут тип который базы аргумент загруженному схемы схему сохранен файлу имени xml-документ установить ссылке профилирующая mp3-файлу сведения которого читаемого атрибут wbmp xpm конфигурации gif требуется указан добавления указывающий документу подсвечиваемому функция синтаксис котором ресурс которое нужно sqlite php-файл удалить изображение открытия потоковый необходимо данных проверяемому html каталогу проверяемого список подзапрос определить php определяет схемой uri xbm имя
$replacement	скобках; содержать удалённые передан подстроки совпавшим заменены содержит воспроизведет содержимое строка массив pattern будут строки элементы массива которые digit digit-подстрокой вида замены \ аргумента \0 элементами качестве текстом скобках replacement
$items	ключей массив пар сохраняемый значений /
$file_extensions	данный параметров вызове искать зарегистрированных файлы просто перечисленных умолчанию запятую выведет функция расширений расширениями список момент
$first	строка первая
$recursive	указано определят узла пространства директория добавляется флаг возвращает содержимое элементов используемые указанных -r родительского объявленные серверу всё отправлена создание рекурсивно имен передано дочерних true значение директорий добавлено list команда разрешает pathname вложенных
$scale	разделителя установки количества необязательный используется запятой знаков масштаб результате число параметр десятичного
$window_handle	окна id hwnd
imagickpixeliterator	объект imagickpixeliterator изображения возвращает секции
$force	директории находятся добавить известные -- взяты файлы subversion параметра рекурсивно этих директориях просматривать контроль которые true эквивалентно значение
$closure	анонимная привязывания функция объекту
$genre_id	число 147 интервале 0
$want_peer	false сокета возвращено установлено удалённое локальное название true
$pattern	регулярного into parsing расширенное регистронезависимое use текст строка искомый when to arguments выражение выражения string шаблон stick поиска optional регулярное formatting posix pattern the or
$column_name	столбца использованного запросе имя
$errno	присвоен допустимый указания соединение первый errstr которая целого содержит установлены socket() аргументы системных сокета возвращённый listen() errno будут ошибки числа аргумента скорее необязательные уровень присутствуют виде удалось уровня номер функцией bind() системной действительного socket_last_error() установить код вызовах происходит
$repository_url	url репозитория
$prefix	примеру ту идентификаторы prefix хостах используемая производится внимание обратите xml объекта extr_prefix_if_exists - пределах одновременно полезно генерируются имен пространство имеет строка префикс генерация значение extr_prefix_same одну extr_prefix_invalid микросекунду ссылка flags установлен содержащая extr_prefix_all нескольких
$new_path	ссылки имя жесткой
$max_len	длина строки максимальная
$is_xhtml	переводы xhtml строк использовать совместимые
$entity_name	требуется дать которой определение сущности имя
$localname	prefix:tagname xslt файла искомых следующего узла zip-архива параметра виде перехода имя локальное название создания элементов внутри атрибута
$oid_only	умолчанию поле возвращает функция содержащей заданное название таблицы
$exclude	результатов списка исключаются установлено исключены попадающие фильтр документы true будут
$context	потока допустимый созданный помощи потоки нужно разделу функции следующему контекст помощью ссылка обеспечить будут переданы вызову контекстом контекстов 5 действующий описания : руководства приложения произвольные контекста поддержка описанием руководства: обратному доступ php которым функцией которые resource stream_context_create() добавлена данного замечание данные обратитесь параметра ресурс context корректный задачей контекстные связываемый
boolean	приведено false успешного завершения возвращает случае типу ошибки затем возвращаемое boolean возникновения использовано true значение
$user	пользователя имя число
$reps	пройдут 10 значения умолчанию диапазоне меньше лежат reps допустимые определятся это 5 простые непростые числа число ; тест возможно вероятность аргумента
$headers	фрейма array заголовки
$group	номеру имени группа группы указанная название номер
$min	id минимальное значение
$autoload_function	функция автозагрузки классов требуется описаний регистрацию которой снять
$client_flags	load or должен mysql_client_compress data local констант: обработку включает mysql_client_ignore_space mysql_client_interactive mysql_client_ssl следующих 128 параметр комбинацией client_flags
$job_handle	задания статуса задачи получения дескриптор
$allowable_tags	которые необязательный указать удалять строки следует теги параметр возвращаемой используйте
$with_cas	значениями cas вместе записей токены запрашивать
$genre	название жанра виде строки string
$maxlength	количество копирования максимальное байт
$hour	количество начала прошедших year month часов параметрами дня указанного day
$cmp_function	элементов функция сравнения callback-функция используемая сортировки
$path	передаваться добавляемой примонтированной файла проверяемый opendir() любого локальный путь анализируемый символической метаданных задает новой импорта статуса который системы удаляемой каталогу xpath открываемому папке системе требуется краткий файловой объекту получения директории файлу удаляемого новому url навигация рабочей которому копии ссылке задания локальной относительный имя репозиторию
$module_name	байт строка string 48 пользователем задаваемая длиной модуля имя
$weight	общему заданного отношению серверов коэффициент сервера пуле весовой весу
$callback	вызвана вызова итерации false должна заданий совпавших выполнены метод непосредственно каждому запроса каждом используемая carry вызваны array функции итерации; содержит данных subject группы вызывается значения применяемая которые исполняемая параметра будут initial строки $carry массиве массива равные элементу исключения массив завершении элементов которой обработчиком заголовков обратного отправкой callable параметров $item передана передан значение перехвата первой вызываемая получает игнорируется которая -функция завершающая см функция случае запросы типа callback возвращаемое выброшенного callback-функция предыдущей mixed результирующее должны имя регистрируемая
$oldname	директории старое замечание / файла : имя
$walk_to_top	переменную уровней делать доступной apache
$arg_separator	arg_separator
$system_id	внешней представлен четвертый объявлении объявления - обозначения идентификатор виде system_id аргумент внешнего сущности системный
$double_encode	html-сущности double_encode выключении параметра преобразовывать php существующие
splfileobject	object файл открытый splfileobject
oci-lob	lob ошибке false новый успеха случае дескриптор file возвращает
$hue	радуги значения нулевым 0 нормализованное красный 1 круговой виде значением цвет оттенка значение
$filter	описанном результата поисковый допустим методов типы свойств включения булевы пустой расширенным ldap фильтрация определенными список желаемые возвращать формате используя см операторы простым документации опциональный фильтр позволяющий атрибутами
reflectionextension	представляющий объекта пользовательских информация классов расширение класса экземпляр классе reflectionextension виде null расширении определенное
$error_code	sqlite_last_error() полученный ошибки код
$error_message	ошибки таковой возникновения нем параметр данных ошибке используется сообщение сформированное базу ссылке объясняющее устанавливается почему удалось читабельное передается error_message случае проверке содержаться синтаксиса открыть
$region_code	региона geoip_region_by_name() циферный цифровой двухбуквенный код смотрите
$nanoseconds	положительным миллиарда должно меньшим числом целым одного
$end_element_handler	xml parser resource string должна $name именем функция ссылкой обработчик аргумента: первый аргумент анализатор вызывающий является end_element_handler принимать $parser
$lob_from	копируемый объект lob
$cmd	которая выполнена команда
$file	потока параметры начинается проверяемому существующий file файла установлены путь строки headers_sent() поместит открываемого line php номер файлу функция переменные вывод которой ресурс исходника опциональные имя
$category	константа определяющая категорию lc_collate strcoll() локали: функций функции например category lc_numeric смотри параметр lc_monetary - сравнения это влиять lc_all разделения которые localeconv() десятичного преобразования строк классификации задает символ категория нижеперечисленное lc_ctype установка именованная strtoupper() см
$fp	поток
$zend_extensions	zend возвращать расширения mysqli вроде обычные
$stream_filter	фильтр удаления потоковый
